query	subject	pident	Aln_length	mismatch	gapopen	evalue	bitscore	query_PITG	name	category	function	NSM	20H	SPO	ZOO	induced	Harab	OnlyFlag	FullName	bestByPITG	bestByAurli1	PROT	BEST
XP_002896618.1_PITG_17768	jgi|Aurli1|114429|fgenesh1_pm.2_#_252	38.2	280	161	2	4.65E-62	197	17768	TT9264	Basal body	Basal body oxidoreductase protein	0.9	1.2	1.62	0.27	no	yes	no	TT9264		yes		yes
XP_002996881.1_PITG_21961	jgi|Aurli1|114818|fgenesh1_pm.3_#_171	59.1	530	202	4	2.36E-229	642	21961	DYF13	Uncharacterized	C. elegans ortholog required for ciliogenesis	0.01	0.65	2.68	0.65	yes	no	yes	DYF13	yes	yes		yes
XP_002908467.1_PITG_01868	jgi|Aurli1|114818|fgenesh1_pm.3_#_171	59.1	530	202	4	1.67E-229	643	1868	DYF17	Intraflagellar transport	Intraflagella transport protein	0.35	0.78	2.78	0.09	yes	no	yes	DYF17	yes	yes		yes
XP_002902608.1_PITG_10077	jgi|Aurli1|114891|fgenesh1_pm.3_#_244	32.8	134	86	2	1.79E-13	68.6	10077	RSP23	Radial spoke	Radial spoke protein	0.25	0.46	2.75	0.54	yes	no	no	RSP23 (FAP106)		yes		yes
XP_002906556.1_PITG_03488	jgi|Aurli1|114903|fgenesh1_pm.3_#_256	47.9	4336	1938	48	0	3800	3488	DHC6	Inner dynein arm	Dynein heavy chain protein	0.31	1.01	2.52	0.16	yes	no	yes	DHC6		yes		yes
XP_002899324.1_PITG_14226	jgi|Aurli1|114949|fgenesh1_pm.3_#_302	63.2	212	77	1	8.42E-93	282	14226	IFT46	Intraflagellar transport	Intraflagellar transport protein	0.06	1.13	2.67	0.14	yes	no	no	IFT46 (FAP32)	yes	yes		yes
XP_002908697.1_PITG_00063	jgi|Aurli1|115042|fgenesh1_pm.4_#_38	68.8	327	95	1	1.25E-163	472	63	LF4	Regulatory	"Long flagella protein, MAP kinase"	0.11	0.82	1.52	1.55	yes	no	no	LF4	yes	yes		yes
XP_002895569.1_PITG_20745	jgi|Aurli1|115089|fgenesh1_pm.4_#_85	54.5	448	193	4	7.22E-170	488	20745	IFT52	Intraflagellar transport	Intraflagellar transport protein	0.28	1.26	2.37	0.09	yes	no	no	IFT52 (BLD1)	yes	yes		yes
XP_002907406.1_PITG_02482	jgi|Aurli1|115433|fgenesh1_pm.5_#_131	67.6	808	258	3	0	1110	2482	SSA9	Uncharacterized	Protein with helicase-associated region	1.04	0.79	0.76	1.42	no	yes	no	SSA9	yes	yes		yes
XP_002907986.1_PITG_01312	jgi|Aurli1|115560|fgenesh1_pm.5_#_258	49.5	214	103	2	2.65E-61	203	1312	FAP155	Protein interaction	Leucine rich repeat protein	0.48	1.45	1.59	0.48	yes	no	yes	FAP155	yes	yes		yes
XP_002895846.1_PITG_20212	jgi|Aurli1|115687|fgenesh1_pm.6_#_59	47.6	1869	784	30	0	1555	20212	IFT172	Intraflagellar transport	Intraflagellar transport protein	0.12	1.73	1.68	0.47	yes	no	yes	IFT172	yes	yes		yes
XP_002903837.1_PITG_08458	jgi|Aurli1|116240|fgenesh1_pm.7_#_293	55.2	699	294	7	1.05E-231	668	8458	FLA10	Intraflagellar transport	Kinesin	1.18	0.75	1.39	0.68	no	no	no	FLA10	yes	yes		yes
XP_002897393.1_PITG_16331	jgi|Aurli1|116376|fgenesh1_pm.8_#_98	49.3	69	31	2	5.53E-13	70.1	16331	MOT13	Uncharacterized	"Zinc finger, CW-type"	0.85	0.94	1.02	1.19	no	no	no	MOT13		yes		yes
XP_002897884.1_PITG_16112	jgi|Aurli1|116605|fgenesh1_pm.9_#_25	37.6	372	208	6	1.4E-65	214	16112	IFT57	Intraflagellar transport	Intraflagellar transport protein	0.05	0.95	2.68	0.32	yes	no	no	IFT57	yes	yes		yes
XP_002998957.1_PITG_05288	jgi|Aurli1|116894|fgenesh1_pm.9_#_314	33.9	369	240	2	1.46E-54	192	5288	FAP134	Protein interaction	Leucine rich repeat protein	0.18	0.5	3.1	0.23	yes	no	yes	FAP134	yes	yes		yes
XP_002900247.1_PITG_12878	jgi|Aurli1|117061|fgenesh1_pm.10_#_159	40.5	220	121	2	1.25E-63	196	12878	MAS4	Mastigoneme	Mastigoneme protein	0.04	1.55	2.31	0.1	yes	no	yes	MAS4		yes		yes
XP_002998115.1_PITG_05883	jgi|Aurli1|117659|fgenesh1_pm.12_#_143	51.1	356	149	5	3.33E-115	338	5883	BBS5	Basal body	Transport to flagellar base	0.28	0.56	2.79	0.37	yes	no	yes	BBS5	yes	yes		yes
XP_002908563.1_PITG_01977	jgi|Aurli1|117791|fgenesh1_pm.13_#_49	56.4	312	128	2	3.43E-92	279	1977	FAP73	Uncharacterized	Uncharacterized flagella-associated protein	0.27	0.59	2.72	0.42	yes	no	yes	FAP73	yes	yes		yes
XP_002999126.1_PITG_05487	jgi|Aurli1|118038|fgenesh1_pm.14_#_46	67.9	296	89	3	2.7E-145	422	5487	SSA1	Regulatory	Protein kinase	0.2	0.8	2.57	0.43	yes	no	no	SSA1	yes	yes		yes
XP_002909353.1_PITG_00790	jgi|Aurli1|118329|fgenesh1_pm.15_#_144	37.3	711	360	13	1.38E-160	476	790	FAP52	Basal body	WD40-containing protein	ns	ns	ns	ns	ns	no	yes	"FAP52 (BUG14, WDR16)"	yes	yes		yes
XP_002905321.1_PITG_04560	jgi|Aurli1|118494|fgenesh1_pm.16_#_71	42.5	287	152	5	9.7E-72	221	4560	FBB18	Uncharacterized	Uncharacterized flagella-associated protein	0.42	1.79	1.11	0.68	yes	yes	yes	FBB18	yes	yes		yes
XP_002903806.1_PITG_08423	jgi|Aurli1|118707|fgenesh1_pm.17_#_77	64.1	384	112	6	7.31E-154	462	8423	FLA8	Intraflagellar transport	Kinesin	0.37	1.1	1.87	0.66	yes	no	yes	FLA8		yes		yes
XP_002899461.1_PITG_13766	jgi|Aurli1|118959|fgenesh1_pm.18_#_113	56	791	342	3	6.08E-303	893	13766	IFT121	Intraflagellar transport	Intraflagellar transport protein	0.36	0.8	2.6	0.24	yes	no	yes	IFT121 (FAP118)		yes	yes	yes
XP_002898048.1_PITG_15793	jgi|Aurli1|119658|fgenesh1_pm.22_#_48	54.5	235	92	2	1.02E-77	257	15793	FAP44	Protein interaction	WD domain protein	1.11	0.89	1.33	0.67	no	no	no	FAP44	yes	yes		yes
XP_002906556.1_PITG_03488	jgi|Aurli1|119754|fgenesh1_pm.22_#_144	52.8	3316	1386	31	0	3350	3488	DHC6	Inner dynein arm	Dynein heavy chain protein	0.31	1.01	2.52	0.16	yes	no	yes	DHC6		yes		yes
XP_002909237.1_PITG_00660	jgi|Aurli1|12049|gm1.12049_g	30	1684	947	33	5.67E-233	736	660	FAP65	Uncharacterized	Uncharacterized flagella-associated protein	ns	ns	ns	ns	ns	no	yes	FAP65	yes	yes		yes
XP_002899461.1_PITG_13766	jgi|Aurli1|12050|gm1.12050_g	46.2	1328	548	22	0	1110	13766	IFT121	Intraflagellar transport	Intraflagellar transport protein	0.36	0.8	2.6	0.24	yes	no	yes	IFT121 (FAP118)		yes	no	yes
XP_002898491.1_PITG_14588	jgi|Aurli1|120517|fgenesh1_pm.32_#_22	47.4	173	90	1	6.14E-57	178	14588	MKS1	Basal body	"Ortholog of Meckel Syndrome 1 gene, also centriolar"	0.02	0.32	2	1.66	yes	no	yes	MKS1		yes		yes
XP_002909588.1_PITG_01067	jgi|Aurli1|12275|gm1.12275_g	29.2	804	463	18	3.11E-102	330	1067	BBS7	Basal body	Transport to flagellar base	0.19	1.32	2.05	0.44	yes	no	yes	BBS7	yes	yes		yes
XP_002899691.1_PITG_13461	jgi|Aurli1|12282|gm1.12282_g	82	111	20	0	1.06E-54	165	13461	DIP13	Basal body	Basal body component	0.12	0.45	2.27	1.17	yes	no	yes	DIP13		yes		yes
XP_002900804.1_PITG_12186	jgi|Aurli1|123422|estExt_fgenesh1_pm.C_80189	64.9	353	121	2	7.37E-168	477	12186	MAPK	Regulatory	MAP kinase	0.08	0.88	2.3	0.74	yes	no	no	MAPK	yes	yes	yes	yes
XP_002901440.1_PITG_11983	jgi|Aurli1|12411|gm1.12411_g	29.5	193	127	5	2.01E-15	72	11983	IFT43	Intraflagellar transport	Intraflagellar transport protein	0.01	1.2	1.67	1.11	yes	no	yes	MOT41 (IFT43)		yes		yes
XP_002907670.1_PITG_02778	jgi|Aurli1|12425|gm1.12425_g	28.4	1045	614	14	2.3E-95	342	2778	FAP43	Protein interaction	WD domain protein	0.11	0.73	2.77	0.4	yes	no	yes	FAP43	yes	yes		yes
XP_002997519.1_PITG_18578	jgi|Aurli1|124899|estExt_fgenesh1_pm.C_140111	58.8	328	132	2	7.47E-145	417	18578	CDC14	Regulatory	Cell cycle protein phosphatase	0	0.11	2.19	1.7	yes	no	yes	CDC14	yes	yes		yes
XP_002907805.1_PITG_02952	jgi|Aurli1|125084|estExt_fgenesh1_pm.C_150122	61.9	367	139	1	4.82E-171	486	2952	BBS4	Basal body	Transport to flagellar base	0.06	0.9	2.7	0.34	yes	no	yes	BBS4	yes	yes		yes
XP_002907125.1_PITG_02163	jgi|Aurli1|12603|gm1.12603_g	27.5	324	187	10	9.45E-13	67.8	2163	RIB43A	Tubulin-related	Flagellar protofilament ribbon protein	0.23	0.46	1.18	2.14	yes	no	yes	RIB43A		yes		yes
XP_002997082.1_PITG_19212	jgi|Aurli1|126297|estExt_fgenesh1_pm.C_220045	41.9	503	243	7	4.72E-139	409	19212	TUBE	Tubulin-related	Tubulin epsilon	1.23	0.71	0.76	1.3	no	no	no	TUE (BLD2)	yes	yes		yes
XP_002909005.1_PITG_00402	jgi|Aurli1|128271|estExt_fgenesh1_pg.C_2_t10267	32.2	317	170	7	9.94E-34	125	402	FBB11	Uncharacterized	Uncharacterized flagella-associated protein	0.34	3.48	0.16	0.03	yes	no	yes	FBB11		yes		yes
XP_002906007.1_PITG_04376	jgi|Aurli1|132521|estExt_fgenesh1_pg.C_130121	32.8	412	235	10	1.32E-54	194	4376	C1	Protein interaction	Protein with protein and RNA binding domains	1.24	0.84	1.29	0.64	no	yes	no	C1		yes		yes
XP_002897720.1_PITG_15572	jgi|Aurli1|13339|gm1.13339_g	27.2	518	290	16	2.92E-30	127	15572	ARM1	Protein interaction	Armadillo repeat protein	0.17	0.6	2.9	0.33	yes	no	yes	ARM1		yes	no	yes
XP_002900570.1_PITG_13031	jgi|Aurli1|133402|estExt_fgenesh1_pg.C_160241	39.4	160	88	2	5.74E-27	115	13031	VFL3	Basal body	Protein required for centriole assembly	0.81	1.06	1.28	0.85	no	no	no	VFL3		yes		yes
XP_002896013.1_PITG_19773	jgi|Aurli1|136069|estExt_fgenesh1_kg.C_1_t10052	52.8	288	118	2	3.02E-101	312	19773	FM166	Regulatory	"Protein kinase, NIMA-related"	ns	ns	ns	ns	0	no	yes	FM166 (CNK2)	yes	yes		yes
XP_002900578.1_PITG_13040	jgi|Aurli1|136155|estExt_fgenesh1_kg.C_1_t10138	30.1	458	203	6	1.95E-62	215	13040	FAP256	Protein interaction	Armadillo fold protein	1.12	0.98	1.08	0.82	no	yes	no	FAP256	yes	yes		yes
XP_002900655.1_PITG_13132	jgi|Aurli1|136379|estExt_fgenesh1_kg.C_1_t10373	89.4	160	14	1	4.83E-76	223	13132	DLE2	Regulatory	centrin-like protein	0.65	2.09	1.26	0.31	yes	yes	no	DLE2 (VFL2)	yes	yes		yes
XP_002903156.1_PITG_09512	jgi|Aurli1|136654|estExt_fgenesh1_kg.C_1_t20155	53	287	134	1	5.18E-106	310	9512	BBC30	Basal body	Basal body protein	0.98	0.88	1.37	0.78	no	yes	no	BBC30	yes	yes	yes	yes
XP_002997702.1_PITG_18071	jgi|Aurli1|137309|estExt_fgenesh1_kg.C_30167	40.6	187	108	3	3.2E-49	159	18071	FM14	Uncharacterized	Protein of unknown function DUF298	0.94	1.42	0.74	0.92	no	yes	no	FM14	yes	yes		yes
XP_002900221.1_PITG_12844	jgi|Aurli1|137778|estExt_fgenesh1_kg.C_40287	32.5	114	76	1	1.18E-10	58.5	12844	FAP111	Protein interaction	Leucine rich repeat protein	0.01	0.19	2.46	1.34	yes	no	yes	FAP111		yes		yes
XP_002997507.1_PITG_19017	jgi|Aurli1|138233|estExt_fgenesh1_kg.C_60084	64.5	245	73	4	2.39E-102	296	19017	FTT18	Protein interaction	14-3-3 domain protein	1.2	1.07	1.09	0.65	no	yes	no	FTT18 (BBC78)	yes	yes		yes
XP_002899472.1_PITG_13778	jgi|Aurli1|138238|estExt_fgenesh1_kg.C_60089	42.1	292	150	5	8.52E-73	226	13778	DYF-18	Regulatory	Protein kinase	0.76	0.95	0.96	1.32	no	no	no	DYF-18	yes	yes		yes
XP_002903764.1_PITG_08375	jgi|Aurli1|138437|estExt_fgenesh1_kg.C_60294	26.8	194	126	5	1.01E-14	69.7	8375	FM106	Metabolism	Glucokinase	1.24	1.09	1.25	0.39	no	yes	no	FM106		yes		yes
XP_002899472.1_PITG_13778	jgi|Aurli1|138703|estExt_fgenesh1_kg.C_70262	41.3	298	163	7	1.42E-73	227	13778	DYF-18	Regulatory	Protein kinase	0.76	0.95	0.96	1.32	no	no	no	DYF-18	yes	yes		yes
XP_002899758.1_PITG_13551	jgi|Aurli1|140607|estExt_fgenesh1_kg.C_140197	33.6	357	205	10	1.56E-54	193	13551	FCK	Metabolism	Phosphagen kinase	0.21	2.07	1.26	0.45	yes	no	yes	FCK		yes	yes	yes
XP_002906099.1_PITG_04489	jgi|Aurli1|140928|estExt_fgenesh1_kg.C_160100	46.2	611	274	15	3.17E-148	464	4489	FM165	Metabolism	AAA ATPase	0.72	0.73	1.01	1.55	no	yes	no	FM165	y	yes		yes
XP_002900472.1_PITG_12915	jgi|Aurli1|141904|estExt_fgenesh1_kg.C_210091	36.2	437	259	5	1.42E-94	296	12915	TT8061	Regulatory	"Retromer coat complex protein, RAB GTPase"	1.5	1.12	1.23	0.16	no	no	no	TT8061	yes	yes		yes
XP_002908783.1_PITG_00156	jgi|Aurli1|142419|estExt_fgenesh1_kg.C_250056	94.3	441	25	0	0	865	156	TUBB	Tubulin-related	Tubulin beta	0.24	0.72	2.87	0.18	yes	yes	no	TUB	yes	yes		yes
XP_002909533.1_PITG_01003	jgi|Aurli1|143955|estExt_Genemark1.C_1_t30212	25.1	569	242	11	8.49E-43	165	1003	SSA7	Uncharacterized	Uncharacterized flagella-associated protein	0.56	1.06	1.85	0.53	yes	yes	yes	SSA7		yes		yes
XP_002999301.1_PITG_05682	jgi|Aurli1|145675|estExt_Genemark1.C_5_t10425	50.9	55	26	1	1.49E-14	64.7	5682	DLL1	Outer dynein arm	Outer dynein arm light chain protein	0.07	2.08	1.77	0.08	yes	no	yes	DLL1 (ODA-LC8)		yes		yes
XP_002896853.1_PITG_17354	jgi|Aurli1|146762|estExt_Genemark1.C_8_t10220	63.6	360	127	1	2.59E-178	498	17354	TB-WD	Protein interaction	WD domain protein	0.5	1.69	1.39	0.42	yes	yes	no	TB-WD	yes	yes		yes
XP_002904228.1_PITG_08038	jgi|Aurli1|147899|estExt_Genemark1.C_110231	30.4	158	88	4	3.99E-13	65.1	8038	MOT25	Uncharacterized	Uncharacterized flagella-associated protein	0.08	0.3	2.24	1.38	yes	no	yes	MOT25	no	yes		yes
XP_002898370.1_PITG_15414	jgi|Aurli1|1517|gm1.1517_g	70.2	258	54	3	3.9E-83	248	15414	DII1	Inner dynein arm	Inner dynein arm protein	0.07	1.1	2.29	0.55	yes	no	yes	"DII1 (IDA4, IA-IC28)"	yes	yes	yes	yes
XP_002999244.1_PITG_05619	jgi|Aurli1|1598|gm1.1598_g	27	470	314	8	1.84E-49	174	5619	RSP7	Radial spoke	Radial spoke protein	ns	ns	ns	ns	ns	no	yes	RSP7		yes		yes
XP_002899371.1_PITG_12594	jgi|Aurli1|2720|gm1.2720_g	31.4	740	448	12	2.93E-86	285	12594	FAP116	Protein interaction	Microtubule interacting protein	0.52	1.31	1.75	0.43	yes	no	yes	FAP116	yes	yes		yes
XP_002997358.1_PITG_18709	jgi|Aurli1|2830|gm1.2830_g	56.9	318	125	2	7.24E-107	315	18709	FAP263	Uncharacterized	Uncharacterized flagella-associated protein	0.08	1.66	1.62	0.64	yes	no	yes	FAP263	yes	yes		yes
XP_002997266.1_PITG_18788	jgi|Aurli1|29101|fgenesh1_pg.1_#_758	30.2	507	237	10	1.28E-66	219	18788	TUBD	Tubulin-related	Tubulin delta	1.15	0.9	1.28	0.67	no	no	yes	UNI3 (TUBULIN-DELTA)	yes	yes		yes
XP_002997819.1_PITG_18373	jgi|Aurli1|29307|fgenesh1_pg.1_#_964	28	1014	560	28	1.62E-82	297	18373	FAP61	Uncharacterized	Uncharacterized flagella-associated protein	0.27	1.43	2.03	0.28	yes	no	yes	FAP61	yes	yes		yes
XP_002900260.1_PITG_12891	jgi|Aurli1|30627|fgenesh1_pg.3_#_254	31.6	291	186	5	1.78E-29	114	12891	MOT17	Regulatory	IQ calmodulin-binding region	0.32	0.86	1.42	1.4	yes	no	yes	MOT17		yes		yes
XP_002905355.1_PITG_04600	jgi|Aurli1|3101|gm1.3101_g	25.5	428	200	14	2.31E-22	100	4600	DII6	Inner dynein arm	"Intermediate chain dynein, interacts with inner arm"	0.57	1.14	2	0.29	yes	no	yes	"DII6 (FAP94, IC97)"		yes		yes
XP_002902733.1_PITG_10212	jgi|Aurli1|31122|fgenesh1_pg.4_#_88	44.1	188	95	2	3.69E-59	182	10212	BBS3	Basal body	Transport to flagellar base	0.02	0.3	2.06	1.62	yes	no	yes	BBS3 (ARL6)		yes	no	yes
XP_002997466.1_PITG_19155	jgi|Aurli1|32174|fgenesh1_pg.5_#_525	28	1244	612	43	4.74E-101	356	19155	FM134	Uncharacterized	Uncharacterized flagella-associated protein	ns	ns	ns	ns	ns	no	yes	FM134	yes	yes		yes
XP_002909214.1_PITG_00635	jgi|Aurli1|32281|fgenesh1_pg.6_#_31	33	230	139	3	4.23E-29	125	635	PKD2	Regulatory	Protein kinase	ns	ns	ns	ns	ns	yes	no	PKD2		yes	no	yes
XP_002905241.1_PITG_07309	jgi|Aurli1|32622|fgenesh1_pg.6_#_372	24.2	356	234	11	6.9E-12	66.6	7309	RSP8	Radial spoke	Radial spoke protein	0.12	0.73	2.49	0.66	yes	no	yes	RSP8		yes		yes
XP_002907064.1_PITG_02094	jgi|Aurli1|32709|fgenesh1_pg.6_#_459	38.8	320	173	5	2.11E-65	207	2094	RSP16	Radial spoke	Radial spoke protein	0.11	1.01	1.91	0.96	yes	no	no	RSP16		yes		yes
XP_002901786.1_PITG_10996	jgi|Aurli1|33823|fgenesh1_pg.8_#_361	25.7	175	110	4	0.0000014	51.6	10996	FAP264	Protein interaction	Leucine rich repeat protein	0.26	0.72	2.98	0.04	yes	no	yes	FAP264		yes		yes
XP_002901793.1_PITG_11003	jgi|Aurli1|34336|fgenesh1_pg.9_#_332	30.5	200	124	7	0.00000138	50.4	11003	TB0810	Uncharacterized	Uncharacterized flagella associated protein	ns	ns	ns	ns	ns	no	yes	TB10.6K15.0810		yes		yes
XP_002902654.1_PITG_10127	jgi|Aurli1|34338|fgenesh1_pg.9_#_334	41.7	168	96	2	4.54E-36	130	10127	RAB23	Regulatory	Rab-type GTPase	0.05	0.29	1.77	1.88	yes	no	yes	RAB23		yes		yes
XP_002895573.1_PITG_20749	jgi|Aurli1|35262|fgenesh1_pg.11_#_69	41.8	134	77	1	4.19E-31	110	20749	IFT27	Regulatory	Ras GTPase	0.8	0.96	1.28	0.96	no	no	no	FAP156 (IFT27)		yes		yes
XP_002896841.1_PITG_17342	jgi|Aurli1|3556|gm1.3556_g	50	450	221	2	9.76E-110	332	17342	PF2	Regulatory	Dynein regulatory complex	0.07	0.9	2.13	0.89	yes	no	yes	PF2 (GAS8)	yes	yes		yes
XP_002904881.1_PITG_06904	jgi|Aurli1|35834|fgenesh1_pg.12_#_161	33	212	113	7	1.11E-24	98.6	6904	FBB5	Uncharacterized	Uncharacterized flagella-basal body protein	ns	ns	ns	ns	ns	no	yes	FBB5		yes		yes
XP_002903780.1_PITG_08395	jgi|Aurli1|35868|fgenesh1_pg.12_#_195	48.5	575	239	5	3.05E-139	416	8395	FAP100	Uncharacterized	Uncharacterized flagella-associated protein	0.05	0.46	2.76	0.73	yes	no	yes	FAP100	yes	yes		yes
XP_002903098.1_PITG_09445	jgi|Aurli1|35988|fgenesh1_pg.12_#_315	55.3	103	46	0	1.83E-30	105	9445	ACP1	Metabolism	Acyl carrier protein	1.08	0.74	1.67	0.51	no	yes	no	ACP1		yes	yes	yes
XP_002903594.1_PITG_09311	jgi|Aurli1|36260|fgenesh1_pg.13_#_174	26.3	1700	929	52	3.25E-121	422	9311	FAP81	Uncharacterized	Uncharacterized flagella-associated protein	0.26	0.66	2.41	0.67	yes	no	yes	FAP81	yes	yes		yes
XP_002899990.1_PITG_13346	jgi|Aurli1|36332|fgenesh1_pg.13_#_246	42.3	369	207	2	6.97E-76	239	13346	FAP122	Protein interaction	IQ calmodulin-binding region	0.15	0.81	2.74	0.3	yes	no	yes	FAP122	yes	yes		yes
XP_002900449.1_PITG_12577	jgi|Aurli1|36581|fgenesh1_pg.14_#_57	50	4817	2066	50	0	4503	12577	DHC14	Outer dynein arm	Outer dynein arm protein	0.07	0.6	2.82	0.51	yes	no	yes	DHC14  (ODA4)		yes		yes
XP_002897760.1_PITG_15625	jgi|Aurli1|36581|fgenesh1_pg.14_#_57	41.5	5173	2433	70	0	3753	15625	ODA4(C)	Outer dynein arm	Outer dynein arm protein	ns	ns	ns	ns	ns	no	yes	ODA4(C)		yes		yes
XP_002908502.1_PITG_01908	jgi|Aurli1|3743|gm1.3743_g	34.3	172	95	5	5.53E-22	89	1908	CAH1	Metabolism	Carbonic anhydrase	0.8	2.5	0.7	0.01	yes	no	yes	CAH1		yes	no	yes
XP_002900446.1_PITG_12574	jgi|Aurli1|37642|fgenesh1_pg.17_#_33	65.6	154	51	2	1.16E-65	200	12574	RABB1	Regulatory	Rab-type GTPase	1.41	1.18	0.94	0.47	no	yes	no	RABB1		yes		yes
XP_002905596.1_PITG_04893	jgi|Aurli1|37996|fgenesh1_pg.17_#_387	23.4	508	296	20	2.34E-12	70.1	4893	FAP69	Protein interaction	Armadillo repeat protein	0.47	0.86	1.7	0.98	yes	no	yes	FAP69		yes		yes
XP_002903579.1_PITG_09294	jgi|Aurli1|38427|fgenesh1_pg.19_#_47	26.8	1212	621	34	6.59E-104	358	9294	FM145	Regulatory	Calcium-binding EF-hand	ns	ns	ns	ns	ns	no	no	FM145	yes	yes		yes
XP_002906917.1_PITG_03878	jgi|Aurli1|38460|fgenesh1_pg.19_#_80	55.5	661	254	7	4.57E-248	704	3878	DIC1	Outer dynein arm	Outer dynein arm intermediate chain protein	0.3	1.2	1.94	0.57	yes	no	yes	"DIC1 (ODA9, ODA-IC1)"	yes	yes		yes
XP_002907344.1_PITG_02417	jgi|Aurli1|39399|fgenesh1_pg.22_#_53	48.1	591	274	8	1.15E-154	457	2417	DCC2	Outer dynein arm	Outer dynein arm protein	0.04	1.17	2.15	0.63	yes	no	yes	"DCC2 (ODA1, ODA-DC2)"	yes	yes		yes
XP_002998387.1_PITG_06225	jgi|Aurli1|4023|gm1.4023_g	36.3	430	227	14	1.52E-69	226	6225	RSP4	Radial spoke	Radial spoke protein	0.07	1.69	1.71	0.53	yes	no	yes	RSP4		yes		yes
XP_002906650.1_PITG_03592	jgi|Aurli1|40621|fgenesh1_pg.28_#_55	22.6	461	319	13	3.12E-15	79.3	3592	FAP14	Protein interaction	Heat repeat protein	2.26	1.37	0.39	0.14	no	no	no	FAP14		yes		yes
XP_002904210.1_PITG_08015	jgi|Aurli1|40704|fgenesh1_pg.29_#_26	27.3	337	180	9	4.16E-29	115	8015	DLI1	Intraflagellar transport	Dynein light intermediate chain	0.16	0.67	2.46	0.71	yes	no	yes	DLI1 (D1BLIC)		yes		yes
XP_002908916.1_PITG_00298	jgi|Aurli1|42018|fgenesh1_kg.1_#_438_#_isotig03173	42.2	339	120	4	1.51E-81	261	298	SSA16	Regulatory	Alpha kinase	1.1	0.83	1.12	0.95	no	yes	no	SSA16	yes	yes		yes
XP_002895421.1_PITG_20801	jgi|Aurli1|42701|fgenesh1_kg.2_#_429_#_isotig06459	30.4	181	98	4	1.49E-19	84.7	20801	TB-WW	Protein interaction	WW domain-containing protein	ns	ns	ns	ns	0	yes	no	TB-WW		yes		yes
XP_002899758.1_PITG_13551	jgi|Aurli1|42973|fgenesh1_kg.3_#_231_#_isotig05435	34	356	206	10	1.01E-47	174	13551	FCK	Metabolism	Phosphagen kinase	0.21	2.07	1.26	0.45	yes	no	yes	FCK		yes	yes	yes
