#proteinId	gotermId	goName	gotermType	goAcc
474	4602	protein amino acid phosphorylation	biological_process	GO:0006468
554	2196	transcription factor activity	molecular_function	GO:0003700
554	3838	nucleus	cellular_component	GO:0005634
554	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
554	2176	DNA binding	molecular_function	GO:0003677
556	2196	transcription factor activity	molecular_function	GO:0003700
556	3838	nucleus	cellular_component	GO:0005634
556	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
556	2176	DNA binding	molecular_function	GO:0003677
565	3708	binding	molecular_function	GO:0005488
572	3708	binding	molecular_function	GO:0005488
583	3737	GTP binding	molecular_function	GO:0005525
583	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
583	2378	GTPase activity	molecular_function	GO:0003924
583	3727	protein binding	molecular_function	GO:0005515
583	4994	intracellular protein transport	biological_process	GO:0006886
583	5019	nucleocytoplasmic transport	biological_process	GO:0006913
583	5250	signal transduction	biological_process	GO:0007165
583	3736	ATP binding	molecular_function	GO:0005524
583	3827	intracellular	cellular_component	GO:0005622
583	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
583	5814	transcription factor binding	molecular_function	GO:0008134
583	8400	protein transport	biological_process	GO:0015031
583	2379	small monomeric GTPase activity	molecular_function	GO:0003925
591	2745	glucan 1,4-alpha-glucosidase activity	molecular_function	GO:0004339
619	5323	intracellular signaling cascade	biological_process	GO:0007242
619	6795	cyclic nucleotide biosynthetic process	biological_process	GO:0009190
619	10044	phosphorus-oxygen lyase activity	molecular_function	GO:0016849
619	2789	guanylate cyclase activity	molecular_function	GO:0004383
619	5760	receptor guanylate cyclase activity	molecular_function	GO:0008075
666	2715	exo-alpha-sialidase activity	molecular_function	GO:0004308
670	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
670	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
670	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
670	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
670	3050	casein kinase activity	molecular_function	GO:0004680
670	3051	casein kinase I activity	molecular_function	GO:0004681
670	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
670	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
670	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
670	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
670	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
670	3067	atypical protein kinase C activity	molecular_function	GO:0004700
670	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
670	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
670	3071	JUN kinase activity	molecular_function	GO:0004705
670	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
670	3074	MAP kinase kinase activity	molecular_function	GO:0004708
670	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
670	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
670	3084	Janus kinase activity	molecular_function	GO:0004718
670	6004	MAP kinase 1 activity	molecular_function	GO:0008338
670	6005	MP kinase activity	molecular_function	GO:0008339
670	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
670	6196	JUN kinase kinase activity	molecular_function	GO:0008545
670	10102	MAP kinase 2 activity	molecular_function	GO:0016908
670	10103	SAP kinase activity	molecular_function	GO:0016909
670	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
670	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
670	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
671	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
671	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
671	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
671	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
671	3050	casein kinase activity	molecular_function	GO:0004680
671	3051	casein kinase I activity	molecular_function	GO:0004681
671	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
671	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
671	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
671	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
671	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
671	3067	atypical protein kinase C activity	molecular_function	GO:0004700
671	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
671	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
671	3071	JUN kinase activity	molecular_function	GO:0004705
671	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
671	3074	MAP kinase kinase activity	molecular_function	GO:0004708
671	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
671	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
671	3084	Janus kinase activity	molecular_function	GO:0004718
671	6004	MAP kinase 1 activity	molecular_function	GO:0008338
671	6005	MP kinase activity	molecular_function	GO:0008339
671	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
671	6196	JUN kinase kinase activity	molecular_function	GO:0008545
671	10102	MAP kinase 2 activity	molecular_function	GO:0016908
671	10103	SAP kinase activity	molecular_function	GO:0016909
671	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
671	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
671	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
672	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
672	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
672	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
672	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
672	3050	casein kinase activity	molecular_function	GO:0004680
672	3051	casein kinase I activity	molecular_function	GO:0004681
672	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
672	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
672	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
672	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
672	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
672	3067	atypical protein kinase C activity	molecular_function	GO:0004700
672	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
672	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
672	3071	JUN kinase activity	molecular_function	GO:0004705
672	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
672	3074	MAP kinase kinase activity	molecular_function	GO:0004708
672	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
672	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
672	3084	Janus kinase activity	molecular_function	GO:0004718
672	6004	MAP kinase 1 activity	molecular_function	GO:0008338
672	6005	MP kinase activity	molecular_function	GO:0008339
672	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
672	6196	JUN kinase kinase activity	molecular_function	GO:0008545
672	10102	MAP kinase 2 activity	molecular_function	GO:0016908
672	10103	SAP kinase activity	molecular_function	GO:0016909
672	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
672	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
672	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
675	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
675	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
675	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
675	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
675	3050	casein kinase activity	molecular_function	GO:0004680
675	3051	casein kinase I activity	molecular_function	GO:0004681
675	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
675	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
675	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
675	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
675	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
675	3067	atypical protein kinase C activity	molecular_function	GO:0004700
675	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
675	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
675	3071	JUN kinase activity	molecular_function	GO:0004705
675	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
675	3074	MAP kinase kinase activity	molecular_function	GO:0004708
675	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
675	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
675	3084	Janus kinase activity	molecular_function	GO:0004718
675	6004	MAP kinase 1 activity	molecular_function	GO:0008338
675	6005	MP kinase activity	molecular_function	GO:0008339
675	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
675	6196	JUN kinase kinase activity	molecular_function	GO:0008545
675	10102	MAP kinase 2 activity	molecular_function	GO:0016908
675	10103	SAP kinase activity	molecular_function	GO:0016909
675	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
675	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
675	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
698	3708	binding	molecular_function	GO:0005488
702	2227	structural constituent of ribosome	molecular_function	GO:0003735
702	3827	intracellular	cellular_component	GO:0005622
702	4025	ribosome	cellular_component	GO:0005840
702	4556	translation	biological_process	GO:0006412
715	5270	G-protein coupled receptor protein signaling pathway	biological_process	GO:0007186
715	5753	metabotropic glutamate, GABA-B-like receptor activity	molecular_function	GO:0008067
715	9321	integral to membrane	cellular_component	GO:0016021
724	3195	tubulin-tyrosine ligase activity	molecular_function	GO:0004835
724	4598	protein modification process	biological_process	GO:0006464
724	2290	catalytic activity	molecular_function	GO:0003824
724	3736	ATP binding	molecular_function	GO:0005524
738	155	two-component response regulator activity	molecular_function	GO:0000156
738	157	two-component signal transduction system (phosphorelay)	biological_process	GO:0000160
738	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
757	3166	triacylglycerol lipase activity	molecular_function	GO:0004806
757	4758	lipid metabolic process	biological_process	GO:0006629
776	5323	intracellular signaling cascade	biological_process	GO:0007242
785	3967	peroxisomal membrane	cellular_component	GO:0005778
785	5126	peroxisome organization and biogenesis	biological_process	GO:0007031
814	5765	N-acetyltransferase activity	molecular_function	GO:0008080
814	5830	metabolic process	biological_process	GO:0008152
814	2290	catalytic activity	molecular_function	GO:0003824
814	6667	biosynthetic process	biological_process	GO:0009058
821	6711	lipopolysaccharide biosynthetic process	biological_process	GO:0009103
823	6711	lipopolysaccharide biosynthetic process	biological_process	GO:0009103
828	6711	lipopolysaccharide biosynthetic process	biological_process	GO:0009103
882	16580	indoleamine 2,3-dioxygenase activity	molecular_function	GO:0033754
893	5323	intracellular signaling cascade	biological_process	GO:0007242
893	6795	cyclic nucleotide biosynthetic process	biological_process	GO:0009190
893	10044	phosphorus-oxygen lyase activity	molecular_function	GO:0016849
898	5323	intracellular signaling cascade	biological_process	GO:0007242
898	6795	cyclic nucleotide biosynthetic process	biological_process	GO:0009190
898	10044	phosphorus-oxygen lyase activity	molecular_function	GO:0016849
934	3727	protein binding	molecular_function	GO:0005515
940	9321	integral to membrane	cellular_component	GO:0016021
953	2826	1-phosphatidylinositol 4-kinase activity	molecular_function	GO:0004430
958	3930	cytoplasm	cellular_component	GO:0005737
985	4273	malate metabolic process	biological_process	GO:0006108
985	9822	malate dehydrogenase activity	molecular_function	GO:0016615
985	5830	metabolic process	biological_process	GO:0008152
985	9710	oxidoreductase activity	molecular_function	GO:0016491
985	2290	catalytic activity	molecular_function	GO:0003824
985	3708	binding	molecular_function	GO:0005488
996	9321	integral to membrane	cellular_component	GO:0016021
996	9957	transferase activity, transferring hexosyl groups	molecular_function	GO:0016758
1027	3727	protein binding	molecular_function	GO:0005515
1068	3727	protein binding	molecular_function	GO:0005515
1068	3930	cytoplasm	cellular_component	GO:0005737
1068	3043	protein kinase activity	molecular_function	GO:0004672
1068	3736	ATP binding	molecular_function	GO:0005524
1068	4602	protein amino acid phosphorylation	biological_process	GO:0006468
1116	9321	integral to membrane	cellular_component	GO:0016021
1150	3727	protein binding	molecular_function	GO:0005515
1150	2356	DNA-directed RNA polymerase activity	molecular_function	GO:0003899
1150	2357	DNA-directed RNA polymerase I activity	molecular_function	GO:0003900
1150	2358	DNA-directed RNA polymerase II activity	molecular_function	GO:0003901
1150	2359	DNA-directed RNA polymerase III activity	molecular_function	GO:0003902
1150	16888	RNA polymerase activity	molecular_function	GO:0034062
1152	2196	transcription factor activity	molecular_function	GO:0003700
1152	3838	nucleus	cellular_component	GO:0005634
1152	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
1152	19030	sequence-specific DNA binding	molecular_function	GO:0043565
1152	21401	protein dimerization activity	molecular_function	GO:0046983
1153	4499	transcription	biological_process	GO:0006350
1161	2175	nucleic acid binding	molecular_function	GO:0003676
1162	3724	calcium ion binding	molecular_function	GO:0005509
1162	2175	nucleic acid binding	molecular_function	GO:0003676
1162	3838	nucleus	cellular_component	GO:0005634
1162	19030	sequence-specific DNA binding	molecular_function	GO:0043565
1165	9821	oxidoreductase activity, acting on CH-OH group of donors	molecular_function	GO:0016614
1165	23919	FAD binding	molecular_function	GO:0050660
1165	4234	alcohol metabolic process	biological_process	GO:0006066
1165	6431	choline dehydrogenase activity	molecular_function	GO:0008812
1174	2196	transcription factor activity	molecular_function	GO:0003700
1174	3838	nucleus	cellular_component	GO:0005634
1174	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
1174	2176	DNA binding	molecular_function	GO:0003677
1192	2290	catalytic activity	molecular_function	GO:0003824
1192	2392	IMP dehydrogenase activity	molecular_function	GO:0003938
1192	4339	GMP biosynthetic process	biological_process	GO:0006177
1193	3727	protein binding	molecular_function	GO:0005515
1199	3547	ion channel activity	molecular_function	GO:0005216
1199	4928	ion transport	biological_process	GO:0006811
1199	9320	membrane	cellular_component	GO:0016020
1217	5830	metabolic process	biological_process	GO:0008152
1217	5846	methyltransferase activity	molecular_function	GO:0008168
1217	2304	sterol 24-C-methyltransferase activity	molecular_function	GO:0003838
1252	3727	protein binding	molecular_function	GO:0005515
1255	3043	protein kinase activity	molecular_function	GO:0004672
1255	3736	ATP binding	molecular_function	GO:0005524
1255	4602	protein amino acid phosphorylation	biological_process	GO:0006468
1255	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
1255	3727	protein binding	molecular_function	GO:0005515
1255	5939	zinc ion binding	molecular_function	GO:0008270
1255	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
1278	2290	catalytic activity	molecular_function	GO:0003824
1278	5830	metabolic process	biological_process	GO:0008152
1278	2708	enoyl-CoA hydratase activity	molecular_function	GO:0004300
1281	2770	glutathione transferase activity	molecular_function	GO:0004364
1283	2770	glutathione transferase activity	molecular_function	GO:0004364
1289	2176	DNA binding	molecular_function	GO:0003677
1289	3727	protein binding	molecular_function	GO:0005515
1289	3736	ATP binding	molecular_function	GO:0005524
1289	19405	cellular protein metabolic process	biological_process	GO:0044267
1289	4591	protein folding	biological_process	GO:0006457
1289	24336	unfolded protein binding	molecular_function	GO:0051082
1304	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
1304	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
1304	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
1304	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
1304	3050	casein kinase activity	molecular_function	GO:0004680
1304	3051	casein kinase I activity	molecular_function	GO:0004681
1304	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
1304	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
1304	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
1304	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
1304	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
1304	3067	atypical protein kinase C activity	molecular_function	GO:0004700
1304	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
1304	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
1304	3071	JUN kinase activity	molecular_function	GO:0004705
1304	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
1304	3074	MAP kinase kinase activity	molecular_function	GO:0004708
1304	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
1304	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
1304	3084	Janus kinase activity	molecular_function	GO:0004718
1304	6004	MAP kinase 1 activity	molecular_function	GO:0008338
1304	6005	MP kinase activity	molecular_function	GO:0008339
1304	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
1304	6196	JUN kinase kinase activity	molecular_function	GO:0008545
1304	10102	MAP kinase 2 activity	molecular_function	GO:0016908
1304	10103	SAP kinase activity	molecular_function	GO:0016909
1304	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
1304	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
1304	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
1315	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
1315	2975	cyclophilin	molecular_function	GO:0004600
1315	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
1315	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
1337	9320	membrane	cellular_component	GO:0016020
1337	13047	cell differentiation	biological_process	GO:0030154
1337	3782	extracellular region	cellular_component	GO:0005576
1337	4198	chitin metabolic process	biological_process	GO:0006030
1337	5747	chitin binding	molecular_function	GO:0008061
1339	3727	protein binding	molecular_function	GO:0005515
1350	3827	intracellular	cellular_component	GO:0005622
1350	5939	zinc ion binding	molecular_function	GO:0008270
1350	3727	protein binding	molecular_function	GO:0005515
1350	3724	calcium ion binding	molecular_function	GO:0005509
1377	900	sialate O-acetylesterase activity	molecular_function	GO:0001681
1410	587	nucleosome	cellular_component	GO:0000786
1410	2176	DNA binding	molecular_function	GO:0003677
1410	3838	nucleus	cellular_component	GO:0005634
1410	4484	nucleosome assembly	biological_process	GO:0006334
1420	3708	binding	molecular_function	GO:0005488
1420	3727	protein binding	molecular_function	GO:0005515
1420	5939	zinc ion binding	molecular_function	GO:0008270
1490	9367	mRNA metabolic process	biological_process	GO:0016071
1490	13392	ribonucleoprotein complex	cellular_component	GO:0030529
1494	5939	zinc ion binding	molecular_function	GO:0008270
1494	9985	hydrolase activity	molecular_function	GO:0016787
1494	2290	catalytic activity	molecular_function	GO:0003824
1494	2387	GTP cyclohydrolase activity	molecular_function	GO:0003933
1494	5921	tRNA-specific adenosine deaminase activity	molecular_function	GO:0008251
1494	19188	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	molecular_function	GO:0043723
1494	19293	tRNA-specific adenosine-37 deaminase activity	molecular_function	GO:0043829
1515	3574	voltage-gated potassium channel activity	molecular_function	GO:0005249
1515	4930	potassium ion transport	biological_process	GO:0006813
1515	9320	membrane	cellular_component	GO:0016020
1515	3547	ion channel activity	molecular_function	GO:0005216
1515	4928	ion transport	biological_process	GO:0006811
1516	3708	binding	molecular_function	GO:0005488
1552	3043	protein kinase activity	molecular_function	GO:0004672
1552	3736	ATP binding	molecular_function	GO:0005524
1552	4602	protein amino acid phosphorylation	biological_process	GO:0006468
1552	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
1552	3708	binding	molecular_function	GO:0005488
1552	2745	glucan 1,4-alpha-glucosidase activity	molecular_function	GO:0004339
1579	3724	calcium ion binding	molecular_function	GO:0005509
1598	3724	calcium ion binding	molecular_function	GO:0005509
1598	5250	signal transduction	biological_process	GO:0007165
1598	6243	cAMP-dependent protein kinase regulator activity	molecular_function	GO:0008603
1598	6102	phosphofructokinase activity	molecular_function	GO:0008443
1598	6245	phosphorylase kinase regulator activity	molecular_function	GO:0008607
1598	6438	cobinamide kinase activity	molecular_function	GO:0008819
1598	9578	phosphatidylinositol phosphate kinase activity	molecular_function	GO:0016307
1598	9751	cyclin-dependent protein kinase regulator activity	molecular_function	GO:0016538
1598	11022	phenol kinase activity	molecular_function	GO:0018720
1598	12155	cyclin-dependent protein kinase activating kinase regulator activity	molecular_function	GO:0019914
1598	15776	inositol tetrakisphosphate 2-kinase activity	molecular_function	GO:0032942
1598	17186	phosphoinositide 3-kinase activity	molecular_function	GO:0035004
1598	18069	eukaryotic elongation factor-2 kinase regulator activity	molecular_function	GO:0042556
1598	18070	eukaryotic elongation factor-2 kinase activator activity	molecular_function	GO:0042557
1598	19207	LPPG:FO 2-phospho-L-lactate transferase activity	molecular_function	GO:0043743
1598	19235	cytidine kinase activity	molecular_function	GO:0043771
1598	19262	glycerate 2-kinase activity	molecular_function	GO:0043798
1598	19305	(S)-lactate 2-kinase activity	molecular_function	GO:0043841
1598	24976	polynucleotide kinase activity	molecular_function	GO:0051731
1598	24979	ATP-dependent polynucleotide kinase activity	molecular_function	GO:0051734
1598	24980	GTP-dependent polynucleotide kinase activity	molecular_function	GO:0051735
1617	2832	inositol or phosphatidylinositol phosphatase activity	molecular_function	GO:0004437
1631	3433	Rab GTPase activator activity	molecular_function	GO:0005097
1631	3827	intracellular	cellular_component	GO:0005622
1631	15148	regulation of Rab GTPase activity	biological_process	GO:0032313
1645	5830	metabolic process	biological_process	GO:0008152
1645	9985	hydrolase activity	molecular_function	GO:0016787
1650	3708	binding	molecular_function	GO:0005488
1669	3727	protein binding	molecular_function	GO:0005515
1669	5239	cell communication	biological_process	GO:0007154
1669	17271	phosphoinositide binding	molecular_function	GO:0035091
1669	5939	zinc ion binding	molecular_function	GO:0008270
1673	3727	protein binding	molecular_function	GO:0005515
1673	3782	extracellular region	cellular_component	GO:0005576
1674	2290	catalytic activity	molecular_function	GO:0003824
1728	6380	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity	molecular_function	GO:0008759
1728	6849	lipid A biosynthetic process	biological_process	GO:0009245
1736	6667	biosynthetic process	biological_process	GO:0009058
1736	10330	phosphatidylinositol N-acetylglucosaminyltransferase activity	molecular_function	GO:0017176
1755	3727	protein binding	molecular_function	GO:0005515
1755	5939	zinc ion binding	molecular_function	GO:0008270
1785	2888	monooxygenase activity	molecular_function	GO:0004497
1785	3721	iron ion binding	molecular_function	GO:0005506
1785	4283	electron transport	biological_process	GO:0006118
1785	12251	heme binding	molecular_function	GO:0020037
1785	10891	fluorene oxygenase activity	molecular_function	GO:0018585
1785	10892	mono-butyltin dioxygenase activity	molecular_function	GO:0018586
1785	10893	limonene 8-monooxygenase activity	molecular_function	GO:0018587
1785	10894	tri-n-butyltin dioxygenase activity	molecular_function	GO:0018588
1785	10895	di-n-butyltin dioxygenase activity	molecular_function	GO:0018589
1785	10896	methylsilanetriol hydroxylase activity	molecular_function	GO:0018590
1785	10897	methyl tertiary butyl ether 3-monooxygenase activity	molecular_function	GO:0018591
1785	10898	4-nitrocatechol 4-monooxygenase activity	molecular_function	GO:0018592
1785	10899	4-chlorophenoxyacetate monooxygenase activity	molecular_function	GO:0018593
1785	10900	tert-butyl alcohol 2-monooxygenase activity	molecular_function	GO:0018594
1785	10901	alpha-pinene monooxygenase activity	molecular_function	GO:0018595
1785	10902	dimethylsilanediol hydroxylase activity	molecular_function	GO:0018596
1785	10903	ammonia monooxygenase activity	molecular_function	GO:0018597
1785	10904	hydroxymethylsilanetriol oxidase activity	molecular_function	GO:0018598
1785	10905	2-hydroxyisobutyrate 3-monooxygenase activity	molecular_function	GO:0018599
1785	10906	alpha-pinene dehydrogenase activity	molecular_function	GO:0018600
1785	19287	spheroidene monooxygenase activity	molecular_function	GO:0043823
1795	149	recombinase activity	molecular_function	GO:0000150
1795	2176	DNA binding	molecular_function	GO:0003677
1795	4468	DNA recombination	biological_process	GO:0006310
1804	5939	zinc ion binding	molecular_function	GO:0008270
1810	9321	integral to membrane	cellular_component	GO:0016021
1874	2227	structural constituent of ribosome	molecular_function	GO:0003735
1874	3827	intracellular	cellular_component	GO:0005622
