protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
A0A6S7ZE61,tr|A0A6S7ZE61|A0A6S7ZE61_9STRA A_deaminase domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_40 PE=4 SV=1,656037.4938,554920.2722,764308.6799,663773.7476,547412.7506,750305.8094,671096.9156,515552.7746,729909.8626,613308.5912,503889.1922,688651.4923,601429.0843,511530,688479.8514
A0A6S7ZE97,tr|A0A6S7ZE97|A0A6S7ZE97_9STRA FCP1 homology domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_44 PE=4 SV=1,510967.0547,279593.6004,344414.2025,531265.2219,330480.6603,364168.5226,584639.9402,356717.7281,430401.0842,579456.385,334230.1944,402170.4284,582594.0143,346580,415318.0951
A0A6S7ZEL4,tr|A0A6S7ZEL4|A0A6S7ZEL4_9STRA SET domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_68 PE=4 SV=1,221398.3498,482888.4078,309759.5227,265366.3456,575668.1427,361495.836,263109.9026,607936.1276,350731.5404,283448.0246,607044.101,364872.0703,268025.8566,584670,364028.6325
A0A6S7ZEU9,tr|A0A6S7ZEU9|A0A6S7ZEU9_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_164 PE=3 SV=1,4066244.521,4290601.964,3796133.749,4161126.161,4384045.019,3807319.88,3811233.999,4048419.283,3498965.757,3873859.709,4072209.707,3570037.828,3642983.648,3723200,3277105.353
A0A6S7ZF11,tr|A0A6S7ZF11|A0A6S7ZF11_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_87 PE=4 SV=1,586504.8215,695203.9032,359932.2392,404998.1851,501472.4018,268239.4505,370948.1211,530790.1673,291449.0502,417502.7612,546664.0253,283586.7015,583100.0311,706560,362225.8604
A0A6S7ZF31,tr|A0A6S7ZF31|A0A6S7ZF31_9STRA TauD domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_188 PE=4 SV=1,386903.5476,228953.6533,239236.3985,359876.2292,213253.2139,222048.7154,499619.3457,302132.4084,322296.3553,492847.2664,302770.7968,363412.7279,508411.9508,332790,401719.7017
A0A6S7ZF41,tr|A0A6S7ZF41|A0A6S7ZF41_9STRA TPR_REGION domain-containing protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_92 PE=4 SV=1,1099117.555,1088591.813,791658.0851,1052750.203,1095352.503,752750.7782,894996.9077,915250.9932,638736.3614,916927.8615,968184.7222,648385.8047,865569.8563,928370,617527.0403
A0A6S7ZF54,tr|A0A6S7ZF54|A0A6S7ZF54_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_193 PE=4 SV=1,59369.78566,52186.35075,104459.7545,65220.69518,57647.89143,103053.0401,76687.392,68300.9105,105122.0496,64797.79197,56082.90439,87049.77099,64095.46191,58013,95454.99083
A0A6S7ZFB1,tr|A0A6S7ZFB1|A0A6S7ZFB1_9STRA STAG domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_208 PE=4 SV=1,420149.5377,163269.6805,227166.8144,320028.045,107204.2818,148459.947,303871.3237,110768.9673,144182.1598,324391.6844,108387.7797,130842.2026,309418.0312,105990,145320.1441
A0A6S7ZFQ3,tr|A0A6S7ZFQ3|A0A6S7ZFQ3_9STRA FAD:protein FMN transferase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_121 PE=4 SV=1,2789589.782,3245156.722,2847695.85,2179539.351,2586462.918,2090088.815,1835716.781,2229425.258,1754005.604,1770703.849,2169828.018,1580832.597,1781966.289,2230300,1642910.371
A0A6S7ZG02,tr|A0A6S7ZG02|A0A6S7ZG02_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_139 PE=3 SV=1,225392.664,121955.8839,188133.5073,213796.7599,99440.12973,162590.4287,207973.7072,102196.1176,167479.9929,192782.4778,94177.16772,155906.4074,207123.9229,100330,168350.259
A0A6S7ZG11,tr|A0A6S7ZG11|A0A6S7ZG11_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_141 PE=4 SV=1,603833.4969,513043.2792,496021.337,763637.5688,709090.7528,687611.5345,777400.0705,674290.9528,681018.0436,773055.9851,670905.8492,661203.695,774149.4869,659460,662667.9757
A0A6S7ZG13,tr|A0A6S7ZG13|A0A6S7ZG13_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_152 PE=4 SV=1,58236.33771,28250.50394,38926.67734,44269.33419,24508.61359,32225.6483,58496.88824,35624.30732,44403.88402,53218.58647,29376.61141,35140.96371,52516.1107,32889,39883.04909
A0A6S7ZG15,tr|A0A6S7ZG15|A0A6S7ZG15_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_143 PE=4 SV=1,5204487.828,5264645.357,4370119.608,4548842.866,4682611.68,3768008.616,4223398.578,4480064.686,3525406.305,3701797.116,3932113.839,3059511.23,3835157.586,3981100,3172281.917
A0A6S7ZG49,tr|A0A6S7ZG49|A0A6S7ZG49_9STRA Calmodulin OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_161 PE=4 SV=1,346742.4352,371461.4328,340512.0062,327746.8771,328970.5981,311433.9002,313147.4938,298344.8556,265228.8408,331786.6404,298967.8986,276058.9273,372855.6712,316670,312834.681
A0A6S7ZG73,tr|A0A6S7ZG73|A0A6S7ZG73_9STRA AIR carboxylase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_158 PE=3 SV=1,2736622.887,2738757.252,2327251.755,2411447.881,2507919.415,2064680.315,2189329.648,2219447.817,1709938.025,2051210.233,2027970.589,1533282.359,2200723.307,2177100,1707619.144
A0A6S7ZGB1,tr|A0A6S7ZGB1|A0A6S7ZGB1_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_170 PE=3 SV=1,356534.7715,333517.2689,341861.8939,416101.1639,418226.4224,431009.6564,445820.8486,448868.597,455067.3316,513724.7391,518624.1274,535019.2267,518745.9384,541470,543899.9183
A0A6S7ZGE1,tr|A0A6S7ZGE1|A0A6S7ZGE1_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_292 PE=3 SV=1,325501.1846,433737.5902,216719.3643,352363.538,500540.0144,229491.4882,367231.0742,626932.0126,253655.303,375730.3061,628638.76,275535.9963,394198.3356,633920,282271.1278
A0A6S7ZGF2,tr|A0A6S7ZGF2|A0A6S7ZGF2_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_295 PE=4 SV=1,256072.0484,116705.748,75417.88504,371528.917,167596.6352,128552.6271,294984.4019,130220.1336,97489.08106,276928.5566,120511.4606,97122.88154,267176.8728,125220,98215.26172
A0A6S7ZGT4,tr|A0A6S7ZGT4|A0A6S7ZGT4_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_77 PE=4 SV=1,221360.205,460484.6461,445769.2154,210761.9076,369478.7768,485134.5551,297248.6207,359536.5973,604340.4564,258012.1772,358384.2971,546475.0641,253250.1659,343290,543279.0962
A0A6S7ZGU4,tr|A0A6S7ZGU4|A0A6S7ZGU4_9STRA DAO domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_331 PE=4 SV=1,769818.2304,462231.5095,229117.9126,742336.3409,486736.627,223582.8135,754812.706,512704.8449,239170.9856,804923.7516,557751.4941,257002.3485,819409.8789,597920,273949.7229
A0A6S7ZGZ7,tr|A0A6S7ZGZ7|A0A6S7ZGZ7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_347 PE=4 SV=1;tr|A0A6S7ZIA7|A0A6S7ZIA7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_348 PE=4 SV=1,538845.5149,840050.3796,586667.9971,578626.0972,930968.5501,701610.1797,723289.0783,1127838.292,945748.2249,894632.0981,1299513.523,1150606.312,918757.8448,1314900,1142682.905
A0A6S7ZH42,tr|A0A6S7ZH42|A0A6S7ZH42_9STRA DAO domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_230 PE=4 SV=1,319408.9019,294293.9809,323281.0868,330409.5306,277405.521,321992.8098,364111.6057,316158.9467,348168.6628,320329.4196,295962.8837,352759.5288,356067.1582,330320,382772.6866
A0A6S7ZH69,tr|A0A6S7ZH69|A0A6S7ZH69_9STRA PKS_ER domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_238 PE=3 SV=1,783332.4175,880323.6947,779202.8189,900492.2321,1094541.731,948192.4796,904700.7026,1107108.463,987067.3784,842219.5443,1025425.075,918084.4316,830317.3522,1025800,935244.7265
A0A6S7ZHF0,tr|A0A6S7ZHF0|A0A6S7ZHF0_9STRA Nuclear proteasome inhibitor UBLCP1 OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_383 PE=4 SV=1,92065.3996,157857.2677,184651.0239,95884.15634,152587.225,173077.4275,108062.9957,163136.0016,194372.8127,106716.1618,164446.8512,174792.7296,110536.5598,169400,181435.2802
A0A6S7ZHI7,tr|A0A6S7ZHI7|A0A6S7ZHI7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_61 PE=3 SV=1,164769.5465,241382.1568,127672.151,136814.5803,200331.5407,100121.4745,143336.5645,221421.6926,93164.65997,136190.9276,185513.042,83557.0783,138153.8325,194810,87076.27926
A0A6S7ZHK6,tr|A0A6S7ZHK6|A0A6S7ZHK6_9STRA AMP_N domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_283 PE=4 SV=1,627374.3389,1057472.825,1006358.29,606855.9504,1090082.487,1022799.985,596098.0935,1042594.137,1053389.084,567106.1663,1006130.807,971520.6838,618577.4315,1061000,1048210.484
A0A6S7ZHK9,tr|A0A6S7ZHK9|A0A6S7ZHK9_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_276 PE=3 SV=1,1083423.661,709904.2837,776151.3921,1005108.747,622946.2647,716939.1756,1023832.603,615501.5464,689669.2051,922122.4242,566932.3328,618688.1879,972676.7466,610580,679155.5799
A0A6S7ZI02,tr|A0A6S7ZI02|A0A6S7ZI02_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_311 PE=3 SV=1,226738.6334,84868.92395,238011.2903,189174.3728,64386.41733,194686.6375,222496.5054,60183.34211,221010.5045,197947.8576,60498.20391,204161.9943,213466.0002,65611,221681.2715
A0A6S7ZI43,tr|A0A6S7ZI43|A0A6S7ZI43_9STRA DUF1336 domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_27 PE=4 SV=1,128450.1687,24881.82584,105841.4043,156964.8548,29603.29997,126886.6924,161620.2685,33025.32927,131460.5456,128346.5543,26075.23984,106940.6072,127628.6829,21368,97304.32457
A0A6S7ZI59,tr|A0A6S7ZI59|A0A6S7ZI59_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_149 PE=4 SV=1,441663.2517,214425.0955,363074.4147,480909.5772,229063.2612,357696.5462,604431.296,294566.9897,443482.1971,543520.5171,299299.4864,445975.0212,562240.894,289970,430838.6495
A0A6S7ZI91,tr|A0A6S7ZI91|A0A6S7ZI91_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_337 PE=4 SV=1,280675.4979,651121.8531,286448.4369,299362.4182,638148.2331,302301.2225,334249.1361,730251.8032,348678.919,316879.9965,645259.6012,300065.1089,330940.6126,659120,310721.4978
A0A6S7ZI96,tr|A0A6S7ZI96|A0A6S7ZI96_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_155 PE=4 SV=1,153467.7626,534788.3875,173885.9532,127898.9857,478801.1995,165910.3129,134159.077,508103.5979,170541.53,125136.4313,450524.272,168262.1726,137979.5378,482940,171072.3254
A0A6S7ZIE5,tr|A0A6S7ZIE5|A0A6S7ZIE5_9STRA Uncharacterized protein (Fragment) OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_107 PE=4 SV=1,322149.8842,169321.6553,438271.0997,323664.1417,192396.1132,455327.5083,277539.5005,160510.8691,412820.4396,265442.1528,141411.8575,373859.1869,293652.7965,173040,437452.7934
A0A6S7ZIR2,tr|A0A6S7ZIR2|A0A6S7ZIR2_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_380 PE=4 SV=1,178866.8054,442366.9044,291779.9261,153884.1933,402740.6838,240781.4915,130683.2544,451464.669,236956.0099,115844.5843,374497.3944,215532.7034,118289.8617,371270,229728.0819
A0A6S7ZIT5,tr|A0A6S7ZIT5|A0A6S7ZIT5_9STRA LigB domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_199 PE=3 SV=1,567105.4239,411381.557,638167.914,512895.7759,384518.5909,585066.6644,575045.7926,397993.3354,670604.1789,574775.442,412484.9279,667916.6698,597662.0703,421080,678773.5355
A0A6S7ZIU8,tr|A0A6S7ZIU8|A0A6S7ZIU8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_388 PE=4 SV=1,62394.12995,111904.2601,89259.3385,49702.86516,91403.35572,67326.53202,58052.81627,125880.4311,86574.23759,47550.67656,96891.00706,71009.16636,49667.79833,107020,79253.91988
A0A6S7ZIW7,tr|A0A6S7ZIW7|A0A6S7ZIW7_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_481 PE=3 SV=1,47108.3855,118223.5146,64373.76187,58314.97451,142513.3872,79678.41879,49846.25656,161334.2502,96794.43685,47057.48493,113620.6505,60645.40346,49666.11161,117880,55745.05562
A0A6S7ZIX7,tr|A0A6S7ZIX7|A0A6S7ZIX7_9STRA HYPK_UBA domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_391 PE=4 SV=1,228645.8776,74246.46719,117088.5778,229623.8013,85577.9614,132699.486,271541.7877,117113.8448,148670.0948,269346.8297,117610.0669,166669.0572,227971.8153,102640,141774.2944
A0A6S7ZJ20,tr|A0A6S7ZJ20|A0A6S7ZJ20_9STRA UBC core domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_133 PE=4 SV=1,459656.7379,244217.2302,459336.1538,486349.4069,238255.3848,442886.9315,499871.5347,245309.4297,475651.5296,572359.0949,295040.6549,583068.0735,607276.3896,309980,603092.9248
A0A6S7ZJ22,tr|A0A6S7ZJ22|A0A6S7ZJ22_9STRA PX domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_215 PE=4 SV=1,490968.2375,719049.0659,657588.147,445390.3523,716326.8898,631497.1023,490973.6482,720022.5046,637611.4784,429578.6603,657258.9366,556471.5592,458974.109,660120,594544.681
A0A6S7ZJ35,tr|A0A6S7ZJ35|A0A6S7ZJ35_9STRA Epimerase domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_404 PE=4 SV=1,1230226.967,1065968.5,1173381.368,1283169.937,1121702.581,1247653.224,1082822.905,855328.227,1021463.283,1027881.386,833311.3627,962241.6987,1010515.559,823780,972195.5847
A0A6S7ZJ44,tr|A0A6S7ZJ44|A0A6S7ZJ44_9STRA SAM domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_217 PE=4 SV=1,415419.5723,357916.0822,575505.9005,341861.8036,345246.839,446027.0386,397120.9556,363643.8157,525587.0544,360858.6817,336499.4988,469859.5909,366805.9592,345480,465043.5634
A0A6S7ZJ51,tr|A0A6S7ZJ51|A0A6S7ZJ51_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_497 PE=4 SV=1,156753.6718,302398.2816,143110.7825,136098.8133,273807.7217,131896.4815,190660.3826,390941.319,181674.392,150922.4739,311754.7552,139306.3882,170634.4889,330600,155157.7878
A0A6S7ZJ58,tr|A0A6S7ZJ58|A0A6S7ZJ58_9STRA DNA-(apurinic or apyrimidinic site) endonuclease OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_85 PE=3 SV=1,74240.84073,4185.981074,152469.2476,105137.593,5015.53479,189736.7741,124729.4006,5923.209483,198327.2981,130570.294,4929.053445,205438.9189,109080.3558,5922.3,189983.524
A0A6S7ZJ79,tr|A0A6S7ZJ79|A0A6S7ZJ79_9STRA C2H2-type domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_144 PE=4 SV=1,164137.4313,154010.3499,25820.28878,131351.8461,139604.7439,26725.66689,156565.5234,138579.8729,20150.48025,131445.7821,134261.9944,17979.09771,140728.8958,130920,18077.86413
A0A6S7ZJD8,tr|A0A6S7ZJD8|A0A6S7ZJD8_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_98 PE=3 SV=1,807690.6498,853194.8107,866548.493,728879.92,775199.0464,766114.2109,646316.603,694875.4789,686862.7961,635079.0618,627809.7904,646646.7551,684865.6329,697100,702699.067
A0A6S7ZJE5,tr|A0A6S7ZJE5|A0A6S7ZJE5_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_159 PE=4 SV=1,190827.9508,219217.0377,194769.5098,174922.019,215107.8541,179153.8942,159937.1809,212558.2378,155338.2153,160471.1306,208112.8267,153729.5551,177921.1309,225020,160769.0651
A0A6S7ZJJ4,tr|A0A6S7ZJJ4|A0A6S7ZJJ4_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_174 PE=4 SV=1,298222.1441,384281.3101,175768.9898,383977.5379,479743.7215,233782.1689,417789.4906,477144.4707,214446.7546,371037.6899,488957.3766,201243.3096,397166.9675,518130,224116.8046
A0A6S7ZJL2,tr|A0A6S7ZJL2|A0A6S7ZJL2_9STRA Threonylcarbamoyladenosine tRNA methylthiotransferase OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_433 PE=3 SV=1,52373.4692,70498.82474,73985.18911,71593.88514,113923.5518,102278.8,73140.29859,124834.2529,111554.7564,72788.07995,116211.1806,117283.6961,70814.2406,109770,110588.7252
A0A6S7ZJM5,tr|A0A6S7ZJM5|A0A6S7ZJM5_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_514 PE=4 SV=1,2308909.764,2390243.685,2192262.986,1327662.018,1285478.455,1113503.535,1313246.917,1173947.63,1022147.49,1247220.336,1123875.582,990686.7133,1562692.341,1400800,1259313.901
A0A6S7ZJM6,tr|A0A6S7ZJM6|A0A6S7ZJM6_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_449 PE=4 SV=1,87858.56394,57283.75542,109985.2192,87157.52426,52925.14656,123147.3283,111889.69,55081.28569,112055.7352,104912.6563,59713.79139,115451.0053,103902.1172,61487,117741.313
A0A6S7ZJY1,tr|A0A6S7ZJY1|A0A6S7ZJY1_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_275 PE=4 SV=1,205241.2673,249228.7236,265995.9369,210550.0405,247994.7793,283244.8476,207474.8115,250230.3422,289976.2653,197066.5329,260286.103,263642.3561,202254.9168,260600,262762.9849
A0A6S7ZJZ8,tr|A0A6S7ZJZ8|A0A6S7ZJZ8_9STRA DUF4205 domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_476 PE=3 SV=1,204876.1663,300851.8779,377287.9381,182068.2374,273503.6824,327182.3761,246503.8037,343456.4499,331701.3044,201414.7904,326945.6237,334432.6211,218925.3593,322160,358286.0274
A0A6S7ZK34,tr|A0A6S7ZK34|A0A6S7ZK34_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_129 PE=3 SV=1,900219.2373,748516.6468,624998.0013,675283.282,588417.5269,482665.6159,692204.0402,588552.7692,490159.0404,634437.0372,514748.6944,458695.622,723210.4619,608980,503665.866
A0A6S7ZK48,tr|A0A6S7ZK48|A0A6S7ZK48_9STRA TPR_REGION domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_478 PE=4 SV=1,187362.2157,144569.651,341306.0578,186803.7523,150347.4683,355035.8448,236789.044,180862.9111,405259.3708,248428.5009,189678.6144,450121.9857,245204.4987,190940,424809.511
A0A6S7ZK56,tr|A0A6S7ZK56|A0A6S7ZK56_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_293 PE=3 SV=1,446594.8402,336715.0789,231590.8161,409859.675,329842.1776,250417.5452,424735.6535,387628.4211,323316.8677,435053.3792,425655.1829,357453.7467,437012.9797,417000,354573.0332
A0A6S7ZK62,tr|A0A6S7ZK62|A0A6S7ZK62_9STRA RRM domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_218 PE=4 SV=1,249919.8237,224743.9989,175111.0613,201960.8357,208966.2588,176313.4157,207370.6464,232590.6143,199023.102,240712.5325,246411.2238,239514.5627,271326.2106,268390,269066.7177
A0A6S7ZK65,tr|A0A6S7ZK65|A0A6S7ZK65_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_134 PE=3 SV=1,95400.35222,150783.9028,52562.81175,90404.24367,163005.6408,48892.18598,89510.65551,173442.7949,43565.44035,87443.75061,158975.6516,47500.37727,81080.75932,146250,46746.71577
A0A6S7ZK66,tr|A0A6S7ZK66|A0A6S7ZK66_9STRA Coatomer subunit zeta OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_467 PE=3 SV=1,262676.5624,207867.1985,367963.5038,247420.6337,191372.514,322723.9035,226312.2349,172028.5169,301433.8358,238202.8,184000.1724,313722.121,247464.7071,197480,334360.4959
A0A6S7ZK78,tr|A0A6S7ZK78|A0A6S7ZK78_9STRA Uncharacterized protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_136 PE=4 SV=1,59271.69881,113412.4809,64227.42951,28015.69563,80563.33873,35994.97528,23019.92353,64473.64168,31481.64637,25058.80382,68393.10346,33114.91009,37323.23726,81142,44395.94873
A0A6S7ZK79,tr|A0A6S7ZK79|A0A6S7ZK79_9STRA JmjC domain-containing protein OS=Aurantiochytrium limacinum OX=87102 GN=ALIM00028_469 PE=4 SV=1,62693.83974,65821.43094,111448.5428,81322.59112,72451.56834,157424.8328,85426.28983,79178.25841,144831.5768,78087.7012,69782.66381,146627.4223,80164.30666,75667,140747.55
