#Accession	Name	No_orfs	Coverage	Abundance	Description
KOG0092	KOG0092	5	4.13	0.000772	GTPase Rab5/YPT51 and related small G protein superfamily GTPases
KOG0094	KOG0094	1	0.923076	0.000172	GTPase Rab6/YPT6/Ryh1, small G protein superfamily
KOG0096	KOG0096	1	0.981481	0.000183	GTPase Ran/TC4/GSP1 (nuclear protein transport pathway), small G protein superfamily
KOG0098	KOG0098	4	3.430555	0.000641	GTPase Rab2, small G protein superfamily
KOG0100	KOG0100	4	2.38009	0.000445	Molecular chaperones GRP78/BiP/KAR2, HSP70 superfamily
KOG0102	KOG0102	3	2.332812	0.000436	Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily
KOG0103	KOG0103	3	1.685006	0.000315	Molecular chaperones HSP105/HSP110/SSE1, HSP70 superfamily
KOG0104	KOG0104	1	0.965631	0.00018	Molecular chaperones GRP170/SIL1, HSP70 superfamily
KOG0105	KOG0105	2	0.925311	0.000173	Alternative splicing factor ASF/SF2 (RRM superfamily)
KOG0108	KOG0108	11	2.696551	0.000504	mRNA cleavage and polyadenylation factor I complex, subunit RNA15
KOG0110	KOG0110	3	1.776551	0.000332	RNA-binding protein (RRM superfamily)
KOG0111	KOG0111	2	0.81208	0.000151	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
KOG0112	KOG0112	1	0.101538	1.8e-05	Large RNA-binding protein (RRM superfamily)
KOG0113	KOG0113	3	1.262686	0.000236	U1 small nuclear ribonucleoprotein (RRM superfamily)
KOG0114	KOG0114	2	1.685483	0.000315	Predicted RNA-binding protein (RRM superfamily)
KOG0116	KOG0116	2	1.069212	0.0002	RasGAP SH3 binding protein rasputin, contains NTF2 and RRM domains
KOG0119	KOG0119	3	0.851985	0.000159	Splicing factor 1/branch point binding protein (RRM superfamily)
KOG0120	KOG0120	2	0.822	0.000153	Splicing factor U2AF, large subunit (RRM superfamily)
KOG0121	KOG0121	1	0.784313	0.000146	Nuclear cap-binding protein complex, subunit CBP20 (RRM superfamily)
KOG0122	KOG0122	1	0.966666	0.00018	Translation initiation factor 3, subunit g (eIF-3g)
KOG0123	KOG0123	3	1.574525	0.000294	Polyadenylate-binding protein (RRM superfamily)
KOG0126	KOG0126	1	0.538812	0.0001	Predicted RNA-binding protein (RRM superfamily)
KOG0127	KOG0127	3	1.448377	0.00027	Nucleolar protein fibrillarin NOP77 (RRM superfamily)
KOG0128	KOG0128	1	0.361374	6.7e-05	RNA-binding protein SART3 (RRM superfamily)
KOG0130	KOG0130	1	0.558823	0.000104	RNA-binding protein RBM8/Tsunagi (RRM superfamily)
KOG0131	KOG0131	2	1.724137	0.000322	Splicing factor 3b, subunit 4
KOG0132	KOG0132	4	0.581655	0.000108	RNA polymerase II C-terminal domain-binding protein RA4, contains RPR and RRM domains
KOG0133	KOG0133	3	2.629001	0.000491	Deoxyribodipyrimidine photolyase/cryptochrome
KOG0134	KOG0134	11	9.9675	0.001864	NADH:flavin oxidoreductase/12-oxophytodienoate reductase
KOG0135	KOG0135	1	0.636913	0.000119	Pristanoyl-CoA/acyl-CoA oxidase
KOG0136	KOG0136	3	2.888059	0.00054	Acyl-CoA oxidase
KOG0137	KOG0137	2	1.159305	0.000216	Very-long-chain acyl-CoA dehydrogenase
KOG0138	KOG0138	1	0.930555	0.000174	Glutaryl-CoA dehydrogenase
KOG0139	KOG0139	5	4.590452	0.000858	Short-chain acyl-CoA dehydrogenase
KOG0140	KOG0140	5	4.654411	0.00087	Medium-chain acyl-CoA dehydrogenase
KOG0141	KOG0141	3	1.933491	0.000361	Isovaleryl-CoA dehydrogenase
KOG0142	KOG0142	2	1.817777	0.00034	Isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase
KOG0143	KOG0143	7	5.562111	0.00104	Iron/ascorbate family oxidoreductases
KOG0144	KOG0144	2	0.472549	8.8e-05	RNA-binding protein CUGBP1/BRUNO (RRM superfamily)
KOG0147	KOG0147	2	1.238615	0.000231	Transcriptional coactivator CAPER (RRM superfamily)
KOG0148	KOG0148	4	1.454828	0.000272	Apoptosis-promoting RNA-binding protein TIA-1/TIAR (RRM superfamily)
KOG0149	KOG0149	1	0.275303	5.1e-05	Predicted RNA-binding protein SEB4 (RRM superfamily)
KOG0150	KOG0150	1	0.45238	8.4e-05	Spliceosomal protein FBP21
KOG0151	KOG0151	2	0.330672	6.1e-05	Predicted splicing regulator, contains RRM, SWAP and RPR domains
KOG0153	KOG0153	2	1.371352	0.000256	Predicted RNA-binding protein (RRM superfamily)
KOG0155	KOG0155	7	1.489465	0.000278	Transcription factor CA150
KOG0157	KOG0157	14	8.177062	0.001529	Cytochrome P450 CYP4/CYP19/CYP26 subfamilies
KOG0158	KOG0158	3	1.66533	0.000311	Cytochrome P450 CYP3/CYP5/CYP6/CYP9 subfamilies
KOG0159	KOG0159	6	2.358381	0.000441	Cytochrome P450 CYP11/CYP12/CYP24/CYP27 subfamilies
KOG0160	KOG0160	84	18.098607	0.003385	Myosin class V heavy chain
KOG0161	KOG0161	160	35.168393	0.006578	Myosin class II heavy chain
KOG0162	KOG0162	9	2.777576	0.000519	Myosin class I heavy chain
KOG0163	KOG0163	11	2.382049	0.000445	Myosin class VI heavy chain
KOG0164	KOG0164	7	3.564435	0.000666	Myosin class I heavy chain
KOG0165	KOG0165	2	0.958944	0.000179	Microtubule-associated protein Asp
KOG0166	KOG0166	11	6.998054	0.001309	Karyopherin (importin) alpha
KOG0168	KOG0168	1	0.144624	2.7e-05	Putative ubiquitin fusion degradation protein
KOG0169	KOG0169	6	2.845844	0.000532	Phosphoinositide-specific phospholipase C
KOG0170	KOG0170	3	1.418679	0.000265	E3 ubiquitin protein ligase
KOG0171	KOG0171	2	1.517045	0.000283	Mitochondrial inner membrane protease, subunit IMP1
KOG0172	KOG0172	1	0.993258	0.000185	Lysine-ketoglutarate reductase/saccharopine dehydrogenase
KOG0173	KOG0173	1	0.944649	0.000176	20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1
KOG0174	KOG0174	1	0.924107	0.000172	20S proteasome, regulatory subunit beta type PSMB6/PSMB9/PRE3
KOG0175	KOG0175	1	0.964912	0.00018	20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2
KOG0176	KOG0176	1	1	0.000187	20S proteasome, regulatory subunit alpha type PSMA5/PUP2
KOG0177	KOG0177	1	0.98	0.000183	20S proteasome, regulatory subunit beta type PSMB2/PRE1
KOG0178	KOG0178	1	0.963855	0.00018	20S proteasome, regulatory subunit alpha type PSMA4/PRE9
KOG0179	KOG0179	2	1.412765	0.000264	20S proteasome, regulatory subunit beta type PSMB1/PRE7
KOG0180	KOG0180	1	1	0.000187	20S proteasome, regulatory subunit beta type PSMB3/PUP3
KOG0181	KOG0181	1	0.995708	0.000186	20S proteasome, regulatory subunit alpha type PSMA2/PRE8
KOG0182	KOG0182	1	1	0.000187	20S proteasome, regulatory subunit alpha type PSMA6/SCL1
KOG0183	KOG0183	1	0.90763	0.000169	20S proteasome, regulatory subunit alpha type PSMA7/PRE6
KOG0184	KOG0184	1	0.968503	0.000181	20S proteasome, regulatory subunit alpha type PSMA3/PRE10
KOG0185	KOG0185	1	0.902343	0.000168	20S proteasome, regulatory subunit beta type PSMB4/PRE4
KOG0186	KOG0186	1	0.986166	0.000184	Proline oxidase
KOG0187	KOG0187	1	0.91791	0.000171	40S ribosomal protein S17
KOG0188	KOG0188	2	1.965363	0.000367	Alanyl-tRNA synthetase
KOG0189	KOG0189	1	0.908045	0.000169	Phosphoadenosine phosphosulfate reductase
KOG0190	KOG0190	5	2.880324	0.000538	Protein disulfide isomerase (prolyl 4-hydroxylase beta subunit)
KOG0191	KOG0191	2	1.221932	0.000228	Thioredoxin/protein disulfide isomerase
KOG0192	KOG0192	50	33.754143	0.006314	Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs
KOG0193	KOG0193	3	0.687315	0.000128	Serine/threonine protein kinase RAF
KOG0194	KOG0194	7	2.546413	0.000476	Protein tyrosine kinase
KOG0195	KOG0195	2	0.404017	7.5e-05	Integrin-linked kinase
KOG0196	KOG0196	10	0.607429	0.000113	Tyrosine kinase, EPH (ephrin) receptor family
KOG0198	KOG0198	22	15.546325	0.002908	MEKK and related serine/threonine protein kinases
KOG0199	KOG0199	2	0.516843	9.6e-05	ACK and related non-receptor tyrosine kinases
KOG0201	KOG0201	1	0.556745	0.000104	Serine/threonine protein kinase
KOG0202	KOG0202	4	3.702674	0.000692	Ca2+ transporting ATPase
KOG0203	KOG0203	2	0.222767	4.1e-05	Na+/K+ ATPase, alpha subunit
KOG0204	KOG0204	1	0.893617	0.000167	Calcium transporting ATPase
KOG0205	KOG0205	1	0.907643	0.000169	Plasma membrane H+-transporting ATPase
KOG0206	KOG0206	8	7.226759	0.001351	P-type ATPase
KOG0207	KOG0207	5	3.520504	0.000658	Cation transport ATPase
KOG0209	KOG0209	2	1.925	0.00036	P-type ATPase
KOG0211	KOG0211	6	3.351778	0.000627	Protein phosphatase 2A regulatory subunit A and related proteins
KOG0212	KOG0212	1	0.894814	0.000167	Uncharacterized conserved protein
KOG0213	KOG0213	2	0.890784	0.000166	Splicing factor 3b, subunit 1
KOG0214	KOG0214	1	0.999123	0.000186	RNA polymerase II, second largest subunit
KOG0215	KOG0215	1	0.961838	0.000179	RNA polymerase III, second largest subunit
KOG0216	KOG0216	1	0.990999	0.000185	RNA polymerase I, second largest subunit
KOG0217	KOG0217	1	0.793777	0.000148	Mismatch repair ATPase MSH6 (MutS family)
KOG0218	KOG0218	2	1.614953	0.000302	Mismatch repair MSH3
KOG0219	KOG0219	3	0.783431	0.000146	Mismatch repair ATPase MSH2 (MutS family)
KOG0221	KOG0221	1	0.468786	8.7e-05	Mismatch repair ATPase MSH5 (MutS family)
KOG0222	KOG0222	1	0.74965	0.00014	Phenylalanine and histidine ammonia-lyase
KOG0223	KOG0223	1	0.983193	0.000183	Aquaporin (major intrinsic protein family)
KOG0224	KOG0224	9	6.781645	0.001268	Aquaporin (major intrinsic protein family)
KOG0225	KOG0225	2	1.281725	0.000239	Pyruvate dehydrogenase E1, alpha subunit
KOG0226	KOG0226	1	0.417241	7.8e-05	RNA-binding proteins
KOG0227	KOG0227	1	0.954954	0.000178	Splicing factor 3a, subunit 2
KOG0229	KOG0229	4	3.009523	0.000562	Phosphatidylinositol-4-phosphate 5-kinase
KOG0230	KOG0230	2	0.226533	4.2e-05	Phosphatidylinositol-4-phosphate 5-kinase and related FYVE finger-containing proteins
KOG0231	KOG0231	28	9.6	0.001795	Junctional membrane complex protein Junctophilin and related MORN repeat proteins
KOG0232	KOG0232	3	2.717948	0.000508	Vacuolar H+-ATPase V0 sector, subunits c/c'
KOG0233	KOG0233	1	0.846938	0.000158	Vacuolar H+-ATPase V0 sector, subunit c''
KOG0234	KOG0234	3	2.726027	0.000509	Fructose-6-phosphate 2-kinase/fructose-2,6-biphosphatase
KOG0235	KOG0235	12	8.626168	0.001613	Phosphoglycerate mutase
KOG0236	KOG0236	11	6.905263	0.001291	Sulfate/bicarbonate/oxalate exchanger SAT-1 and related transporters (SLC26 family)
KOG0237	KOG0237	3	1.192893	0.000223	Glycinamide ribonucleotide synthetase (GARS)/Aminoimidazole ribonucleotide synthetase (AIRS)
KOG0238	KOG0238	5	3.282089	0.000613	3-Methylcrotonyl-CoA carboxylase, biotin-containing subunit/Propionyl-CoA carboxylase, alpha chain/Acetyl-CoA carboxylase, biotin carboxylase subunit
KOG0239	KOG0239	14	8.22388	0.001538	Kinesin (KAR3 subfamily)
KOG0240	KOG0240	3	1.540362	0.000288	Kinesin (SMY1 subfamily)
KOG0241	KOG0241	1	0.092765	1.7e-05	Kinesin-like protein
KOG0242	KOG0242	11	6.117037	0.001144	Kinesin-like protein
KOG0243	KOG0243	4	1.180595	0.00022	Kinesin-like protein
KOG0244	KOG0244	2	0.564074	0.000105	Kinesin-like protein
KOG0245	KOG0245	6	2.185913	0.000408	Kinesin-like protein
KOG0246	KOG0246	3	1.718934	0.000321	Kinesin-like protein
KOG0247	KOG0247	1	0.504326	9.4e-05	Kinesin-like protein
KOG0248	KOG0248	5	1.014957	0.000189	Cytoplasmic protein Max-1, contains PH, MyTH4 and FERM domains
KOG0249	KOG0249	3	0.730349	0.000136	LAR-interacting protein and related proteins
KOG0250	KOG0250	12	2.842644	0.000531	DNA repair protein RAD18 (SMC family protein)
KOG0251	KOG0251	1	0.195519	3.6e-05	Clathrin assembly protein AP180 and related proteins, contain ENTH domain
KOG0252	KOG0252	4	3.416356	0.000639	Inorganic phosphate transporter
KOG0253	KOG0253	5	3.028409	0.000566	Synaptic vesicle transporter SV2 (major facilitator superfamily)
KOG0254	KOG0254	13	10.771929	0.002015	Predicted transporter (major facilitator superfamily)
KOG0255	KOG0255	5	3.652591	0.000683	Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)
KOG0256	KOG0256	2	1.666666	0.000311	1-aminocyclopropane-1-carboxylate synthase, and related proteins
KOG0257	KOG0257	5	4.604761	0.000861	Kynurenine aminotransferase, glutamine transaminase K
KOG0258	KOG0258	2	1.966315	0.000367	Alanine aminotransferase
KOG0259	KOG0259	1	0.928411	0.000173	Tyrosine aminotransferase
KOG0260	KOG0260	32	3.499065	0.000654	RNA polymerase II, large subunit
KOG0261	KOG0261	2	1.018037	0.00019	RNA polymerase III, large subunit
KOG0262	KOG0262	5	1.310365	0.000245	RNA polymerase I, large subunit
KOG0263	KOG0263	1	0.844413	0.000157	Transcription initiation factor TFIID, subunit TAF5 (also component of histone acetyltransferase SAGA)
KOG0264	KOG0264	4	2.909952	0.000544	Nucleosome remodeling factor, subunit CAF1/NURF55/MSI1
KOG0265	KOG0265	2	1.923076	0.000359	U5 snRNP-specific protein-like factor and related proteins
KOG0266	KOG0266	46	23.813596	0.004454	WD40 repeat-containing protein
KOG0267	KOG0267	1	0.340606	6.3e-05	Microtubule severing protein katanin p80 subunit B (contains WD40 repeats)
KOG0268	KOG0268	1	1	0.000187	Sof1-like rRNA processing protein (contains WD40 repeats)
KOG0269	KOG0269	3	0.575685	0.000107	WD40 repeat-containing protein
KOG0270	KOG0270	2	1.302375	0.000243	WD40 repeat-containing protein
KOG0271	KOG0271	6	2.720833	0.000508	Notchless-like WD40 repeat-containing protein
KOG0272	KOG0272	19	9.522875	0.001781	U4/U6 small nuclear ribonucleoprotein Prp4 (contains WD40 repeats)
KOG0273	KOG0273	2	1.36832	0.000255	Beta-transducin family (WD-40 repeat) protein
KOG0274	KOG0274	17	6.666666	0.001247	Cdc4 and related F-box and WD-40 proteins
KOG0275	KOG0275	1	0.781496	0.000146	Conserved WD40 repeat-containing protein
KOG0276	KOG0276	2	1.178841	0.00022	Vesicle coat complex COPI, beta' subunit
KOG0277	KOG0277	2	1.765273	0.00033	Peroxisomal targeting signal type 2 receptor
KOG0278	KOG0278	1	0.874251	0.000163	Serine/threonine kinase receptor-associated protein
KOG0279	KOG0279	2	1.787301	0.000334	G protein beta subunit-like protein
KOG0280	KOG0280	1	0.752212	0.00014	Uncharacterized conserved protein
KOG0281	KOG0281	6	2.511022	0.000469	Beta-TrCP (transducin repeats containing)/Slimb proteins
KOG0282	KOG0282	3	1.377733	0.000257	mRNA splicing factor
KOG0283	KOG0283	1	0.45646	8.5e-05	WD40 repeat-containing protein
KOG0284	KOG0284	3	1.247844	0.000233	Polyadenylation factor I complex, subunit PFS2
KOG0285	KOG0285	1	0.706521	0.000132	Pleiotropic regulator 1
KOG0286	KOG0286	3	2.594752	0.000485	G-protein beta subunit
KOG0287	KOG0287	3	1.099547	0.000205	Postreplication repair protein RAD18
KOG0288	KOG0288	1	0.882352	0.000165	WD40 repeat protein TipD
KOG0289	KOG0289	2	1.096837	0.000205	mRNA splicing factor
KOG0290	KOG0290	1	0.90934	0.00017	Conserved WD40 repeat-containing protein AN11
KOG0291	KOG0291	2	1.071668	0.0002	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG0292	KOG0292	1	1	0.000187	Vesicle coat complex COPI, alpha subunit
KOG0293	KOG0293	2	1.175337	0.000219	WD40 repeat-containing protein
KOG0294	KOG0294	2	1.417127	0.000265	WD40 repeat-containing protein
KOG0295	KOG0295	2	1.633004	0.000305	WD40 repeat-containing protein
KOG0296	KOG0296	2	1.398496	0.000261	Angio-associated migratory cell protein (contains WD40 repeats)
KOG0297	KOG0297	7	2.248081	0.00042	TNF receptor-associated factor
KOG0298	KOG0298	2	0.735294	0.000137	DEAD box-containing helicase-like transcription factor/DNA repair protein
KOG0299	KOG0299	1	0.97286	0.000181	U3 snoRNP-associated protein (contains WD40 repeats)
KOG0301	KOG0301	1	0.939597	0.000175	Phospholipase A2-activating protein (contains WD40 repeats)
KOG0302	KOG0302	2	1.063636	0.000198	Ribosome Assembly protein
KOG0303	KOG0303	2	1.868644	0.000349	Actin-binding protein Coronin, contains WD40 repeats
KOG0304	KOG0304	1	1	0.000187	mRNA deadenylase subunit
KOG0305	KOG0305	3	2.138429	0.0004	Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits
KOG0306	KOG0306	3	1.734234	0.000324	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG0307	KOG0307	11	2.286939	0.000427	Vesicle coat complex COPII, subunit SEC31
KOG0308	KOG0308	4	1.012244	0.000189	Conserved WD40 repeat-containing protein
KOG0309	KOG0309	2	0.312673	5.8e-05	Conserved WD40 repeat-containing protein
KOG0310	KOG0310	1	0.979466	0.000183	Conserved WD40 repeat-containing protein
KOG0311	KOG0311	2	1.110236	0.000207	Predicted E3 ubiquitin ligase
KOG0313	KOG0313	1	0.924349	0.000172	Microtubule binding protein YTM1 (contains WD40 repeats)
KOG0314	KOG0314	1	0.22991	4.3e-05	Predicted E3 ubiquitin ligase
KOG0315	KOG0315	1	0.96463	0.00018	G-protein beta subunit-like protein (contains WD40 repeats)
KOG0316	KOG0316	1	0.436482	8.1e-05	Conserved WD40 repeat-containing protein
KOG0317	KOG0317	3	1.399317	0.000261	Predicted E3 ubiquitin ligase, integral peroxisomal membrane protein
KOG0318	KOG0318	4	1.966832	0.000367	WD40 repeat stress protein/actin interacting protein
KOG0319	KOG0319	6	3.010322	0.000563	WD40-repeat-containing subunit of the 18S rRNA processing complex
KOG0320	KOG0320	5	1.989304	0.000372	Predicted E3 ubiquitin ligase
KOG0321	KOG0321	1	0.515277	9.6e-05	WD40 repeat-containing protein L2DTL
KOG0322	KOG0322	1	0.894736	0.000167	G-protein beta subunit-like protein GNB1L, contains WD repeats
KOG0323	KOG0323	3	1.785826	0.000334	TFIIF-interacting CTD phosphatases, including NLI-interacting factor
KOG0324	KOG0324	2	1.425233	0.000266	Uncharacterized conserved protein
KOG0325	KOG0325	1	0.809734	0.000151	Lipoyltransferase
KOG0326	KOG0326	1	0.956427	0.000178	ATP-dependent RNA helicase
KOG0328	KOG0328	2	1.885	0.000352	Predicted ATP-dependent RNA helicase FAL1, involved in rRNA maturation, DEAD-box superfamily
KOG0329	KOG0329	1	0.943152	0.000176	ATP-dependent RNA helicase
KOG0330	KOG0330	1	0.962184	0.000179	ATP-dependent RNA helicase
KOG0331	KOG0331	7	5.612716	0.001049	ATP-dependent RNA helicase
KOG0332	KOG0332	1	0.844863	0.000158	ATP-dependent RNA helicase
KOG0333	KOG0333	1	0.652303	0.000122	U5 snRNP-like RNA helicase subunit
KOG0334	KOG0334	1	0.693079	0.000129	RNA helicase
KOG0335	KOG0335	3	2.616182	0.000489	ATP-dependent RNA helicase
KOG0337	KOG0337	1	0.95085	0.000177	ATP-dependent RNA helicase
KOG0338	KOG0338	2	1.234442	0.00023	ATP-dependent RNA helicase
KOG0340	KOG0340	1	0.914027	0.00017	ATP-dependent RNA helicase
KOG0341	KOG0341	1	0.788524	0.000147	DEAD-box protein abstrakt
KOG0342	KOG0342	2	1.83057	0.000342	ATP-dependent RNA helicase pitchoune
KOG0343	KOG0343	3	1.054089	0.000197	RNA Helicase
KOG0344	KOG0344	1	0.743676	0.000139	ATP-dependent RNA helicase
KOG0345	KOG0345	1	0.978835	0.000183	ATP-dependent RNA helicase
KOG0346	KOG0346	1	0.963093	0.00018	RNA helicase
KOG0347	KOG0347	1	0.835841	0.000156	RNA helicase
KOG0348	KOG0348	1	0.882768	0.000165	ATP-dependent RNA helicase
KOG0349	KOG0349	3	0.322758	6e-05	Putative DEAD-box RNA helicase DDX1
KOG0350	KOG0350	1	0.709677	0.000132	DEAD-box ATP-dependent RNA helicase
KOG0351	KOG0351	4	1.89373	0.000354	ATP-dependent DNA helicase
KOG0354	KOG0354	3	1.66756	0.000311	DEAD-box like helicase
KOG0355	KOG0355	5	3.849168	0.00072	DNA topoisomerase type II
KOG0356	KOG0356	1	0.958181	0.000179	Mitochondrial chaperonin, Cpn60/Hsp60p
KOG0357	KOG0357	1	0.98	0.000183	Chaperonin complex component, TCP-1 epsilon subunit (CCT5)
