#transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
119640	119640	KOG3450	Huntingtin interacting protein HYPK	General function prediction only 	POORLY CHARACTERIZED
138308	138308	KOG3431	Apoptosis-related protein/predicted DNA-binding protein	"Cell cycle control, cell division, chromosome partitioning "	METABOLISM
47154	47154	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
69425	69425	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
70965	70965	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
73589	73589	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
76973	76973	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
140677	140677	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
145675	145675	KOG3430	Dynein light chain type 1	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
72816	72816	KOG3429	Predicted peptidyl-tRNA hydrolase	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
44727	44727	KOG3428	Small nuclear ribonucleoprotein SMD1 and related snRNPs	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
55592	55592	KOG3426	"NADH:ubiquinone oxidoreductase, NDUFA6/B14 subunit"	Energy production and conversion 	METABOLISM
41994	41994	KOG3424	40S ribosomal protein S24	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
43593	43593	KOG3423	"Transcription initiation factor TFIID, subunit TAF10 (also component of histone acetyltransferase SAGA)"	Transcription 	INFORMATION STORAGE AND PROCESSING
45959	45959	KOG3421	60S ribosomal protein L14	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
78334	78334	KOG3420	Predicted RNA methylase	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
142267	142267	KOG3420	Predicted RNA methylase	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
76750	76750	KOG3419	Mitochondrial/chloroplast ribosomal protein S16	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
42438	42438	KOG3418	60S ribosomal protein L27	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
44118	44118	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
138489	138489	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
149853	149853	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
43109	43109	KOG3413	"Mitochondrial matrix protein frataxin, involved in Fe/S protein biosynthesis"	Inorganic ion transport and metabolism 	METABOLISM
141647	141647	KOG3412	60S ribosomal protein L28	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
140561	140561	KOG3411	40S ribosomal protein S19	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
116535	116535	KOG3409	"Exosomal 3'-5' exoribonuclease complex, subunit ski4 (Csl4)"	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
42412	42412	KOG3408	"U1-like Zn-finger-containing protein, probabl erole in RNA processing/splicing"	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
43119	43119	KOG3407	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
52538	52538	KOG3405	RNA polymerase subunit K	Transcription 	INFORMATION STORAGE AND PROCESSING
139455	139455	KOG3406	40S ribosomal protein S12	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
136515	136515	KOG3404	G10 protein/predicted nuclear transcription regulator	Transcription 	INFORMATION STORAGE AND PROCESSING
38528	38528	KOG3403	Translation initiation factor 1A (eIF-1A)	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
119619	119619	KOG3401	60S ribosomal protein L26	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
44103	44103	KOG3399	Predicted Yippee-type zinc-binding protein	General function prediction only 	POORLY CHARACTERIZED
71523	71523	KOG3399	Predicted Yippee-type zinc-binding protein	General function prediction only 	POORLY CHARACTERIZED
45568	45568	KOG3400	RNA polymerase subunit 8	Transcription 	INFORMATION STORAGE AND PROCESSING
59396	59396	KOG3398	Transcription factor MBF1	Transcription 	INFORMATION STORAGE AND PROCESSING
116899	116899	KOG3397	Acetyltransferases	General function prediction only 	POORLY CHARACTERIZED
31938	31938	KOG3394	Protein OS-9	General function prediction only 	POORLY CHARACTERIZED
149752	149752	KOG3394	Protein OS-9	General function prediction only 	POORLY CHARACTERIZED
144022	144022	KOG3395	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
139850	139850	KOG3393	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
31574	31574	KOG3390	General control of amino-acid synthesis 5-like 1	Transcription 	INFORMATION STORAGE AND PROCESSING
139114	139114	KOG3389	"NADH:ubiquinone oxidoreductase, NDUFS4/18 kDa subunit"	Energy production and conversion 	METABOLISM
44118	44118	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
138489	138489	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
149853	149853	KOG0526	"Nucleosome-binding factor SPN, POB3 subunit"	Chromatin structure and dynamics 	INFORMATION STORAGE AND PROCESSING
41774	41774	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
41896	41896	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
46585	46585	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
47023	47023	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
137245	137245	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
148408	148408	KOG0534	NADH-cytochrome b-5 reductase	Coenzyme transport and metabolism 	METABOLISM
76213	76213	KOG3386	Copper transporter	Inorganic ion transport and metabolism 	METABOLISM
137555	137555	KOG3386	Copper transporter	Inorganic ion transport and metabolism 	METABOLISM
42589	42589	KOG3385	V-SNARE	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
144862	144862	KOG3384	Selenoprotein	General function prediction only 	POORLY CHARACTERIZED
48858	48858	KOG3382	"NADH:ubiquinone oxidoreductase, B17.2 subunit"	Energy production and conversion 	METABOLISM
115677	115677	KOG3381	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
74885	74885	KOG3380	"Actin-related protein Arp2/3 complex, subunit ARPC5"	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
41774	41774	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
41896	41896	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
46585	46585	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
47023	47023	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
137245	137245	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
148408	148408	KOG0534	NADH-cytochrome b-5 reductase	Energy production and conversion 	METABOLISM
2136	2136	KOG0540	"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta"	Amino acid transport and metabolism 	METABOLISM
95952	95952	KOG0540	"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta"	Amino acid transport and metabolism 	METABOLISM
137157	137157	KOG0540	"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta"	Amino acid transport and metabolism 	METABOLISM
48153	48153	KOG3377	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
140906	140906	KOG3378	Globins and related hemoproteins	Energy production and conversion 	METABOLISM
5153	5153	KOG3376	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
71735	71735	KOG3376	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
71764	71764	KOG3376	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
84784	84784	KOG3376	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
148017	148017	KOG3376	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
40269	40269	KOG3375	Phosphoprotein/predicted coiled-coil protein	General function prediction only 	POORLY CHARACTERIZED
74093	74093	KOG3374	Cellular repressor of transcription	Transcription 	INFORMATION STORAGE AND PROCESSING
142565	142565	KOG3373	Glycine cleavage system H protein (lipoate-binding)	Amino acid transport and metabolism 	METABOLISM
39252	39252	KOG3372	Signal peptidase complex subunit	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
13239	13239	KOG3370	dUTPase	Nucleotide transport and metabolism 	METABOLISM
137824	137824	KOG3370	dUTPase	Nucleotide transport and metabolism 	METABOLISM
42303	42303	KOG3369	Transport protein particle (TRAPP) complex subunit	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
142186	142186	KOG3368	Transport protein particle (TRAPP) complex subunit	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
46994	46994	KOG3367	Hypoxanthine-guanine phosphoribosyltransferase	Nucleotide transport and metabolism 	METABOLISM
140885	140885	KOG3366	"Mitochondrial F1F0-ATP synthase, subunit d/ATP7"	Energy production and conversion 	METABOLISM
41608	41608	KOG3365	"NADH:ubiquinone oxidoreductase, NDUFA5/B13 subunit"	Energy production and conversion 	METABOLISM
141836	141836	KOG3363	Uncharacterized conserved nuclear protein	Function unknown 	POORLY CHARACTERIZED
76790	76790	KOG3361	Iron binding protein involved in Fe-S cluster formation	Energy production and conversion 	METABOLISM
72745	72745	KOG3360	Acylphosphatase	Energy production and conversion 	METABOLISM
89284	89284	KOG3357	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
55261	55261	KOG3355	Mitochondrial sulfhydryl oxidase involved in the biogenesis of cytosolic Fe/S proteins	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
61376	61376	KOG3355	Mitochondrial sulfhydryl oxidase involved in the biogenesis of cytosolic Fe/S proteins	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
138364	138364	KOG3355	Mitochondrial sulfhydryl oxidase involved in the biogenesis of cytosolic Fe/S proteins	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
43908	43908	KOG3353	60S ribosomal protein L22	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
67186	67186	KOG3352	"Cytochrome c oxidase, subunit Vb/COX4"	Energy production and conversion 	METABOLISM
44124	44124	KOG3351	Predicted nucleotidyltransferase	General function prediction only 	POORLY CHARACTERIZED
138383	138383	KOG3349	Predicted glycosyltransferase	General function prediction only 	POORLY CHARACTERIZED
141027	141027	KOG3348	BolA (bacterial stress-induced morphogen)-related protein	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
38293	38293	KOG3347	Predicted nucleotide kinase/nuclear protein involved oxidative stress response	Nucleotide transport and metabolism 	METABOLISM
47988	47988	KOG3344	40s ribosomal protein s10	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
118957	118957	KOG3343	"Vesicle coat complex COPI, zeta subunit"	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
48387	48387	KOG3342	Signal peptidase I	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
142500	142500	KOG3341	RNA polymerase II transcription factor complex subunit	Transcription 	INFORMATION STORAGE AND PROCESSING
10741	10741	KOG3339	Predicted glycosyltransferase	General function prediction only 	POORLY CHARACTERIZED
93415	93415	KOG3336	Predicted member of the intramitochondrial sorting protein family	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
46724	46724	KOG3335	Predicted coiled-coil protein	General function prediction only 	POORLY CHARACTERIZED
48558	48558	KOG3332	N-acetylglucosaminyl phosphatidylinositol de-N-acetylase	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING
85558	85558	KOG3331	Mitochondrial/chloroplast ribosomal protein L4/L29	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
136303	136303	KOG3330	Transport protein particle (TRAPP) complex subunit	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
42854	42854	KOG3329	RAN guanine nucleotide release factor	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
9521	9521	KOG3327	Thymidylate kinase/adenylate kinase	Nucleotide transport and metabolism 	METABOLISM
138923	138923	KOG3326	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
106365	106365	KOG3325	"Membrane coat complex Retromer, subunit VPS29/PEP11"	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
141943	141943	KOG3324	"Mitochondrial import inner membrane translocase, subunit TIM23"	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
57564	57564	KOG3323	D-Tyr-tRNA (Tyr) deacylase	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
110413	110413	KOG3323	D-Tyr-tRNA (Tyr) deacylase	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
47120	47120	KOG3319	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
136647	136647	KOG3320	40S ribosomal protein S7	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
138232	138232	KOG3318	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
100281	100281	KOG3316	Transport protein particle (TRAPP) complex subunit	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
142754	142754	KOG3315	Transport protein particle (TRAPP) complex subunit	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
30179	30179	KOG3314	Ku70-binding protein	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
42898	42898	KOG3314	Ku70-binding protein	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
41887	41887	KOG3313	"Molecular chaperone Prefoldin, subunit 3"	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
141442	141442	KOG3311	Ribosomal protein S18	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
43294	43294	KOG3310	Riboflavin synthase alpha chain	Coenzyme transport and metabolism 	METABOLISM
47088	47088	KOG3309	Ferredoxin	Energy production and conversion 	METABOLISM
47420	47420	KOG3309	Ferredoxin	Energy production and conversion 	METABOLISM
60527	60527	KOG3309	Ferredoxin	Energy production and conversion 	METABOLISM
119545	119545	KOG3309	Ferredoxin	Energy production and conversion 	METABOLISM
65367	65367	KOG3307	Molybdopterin converting factor subunit 2	Coenzyme transport and metabolism 	METABOLISM
44484	44484	KOG3306	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
36071	36071	KOG3304	Surfeit family protein 5	General function prediction only 	POORLY CHARACTERIZED
130028	130028	KOG3303	"Predicted alpha-helical protein, potentially involved in replication/repair"	"Replication, recombination and repair "	INFORMATION STORAGE AND PROCESSING
9078	9078	KOG3302	"TATA-box binding protein (TBP), component of TFIID and TFIIIB"	Transcription 	INFORMATION STORAGE AND PROCESSING
51216	51216	KOG3302	"TATA-box binding protein (TBP), component of TFIID and TFIIIB"	Transcription 	INFORMATION STORAGE AND PROCESSING
86110	86110	KOG3302	"TATA-box binding protein (TBP), component of TFIID and TFIIIB"	Transcription 	INFORMATION STORAGE AND PROCESSING
123641	123641	KOG3302	"TATA-box binding protein (TBP), component of TFIID and TFIIIB"	Transcription 	INFORMATION STORAGE AND PROCESSING
150980	150980	KOG3302	"TATA-box binding protein (TBP), component of TFIID and TFIIIB"	Transcription 	INFORMATION STORAGE AND PROCESSING
48863	48863	KOG3301	Ribosomal protein S4	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
2136	2136	KOG0540	"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta"	Lipid transport and metabolism 	METABOLISM
95952	95952	KOG0540	"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta"	Lipid transport and metabolism 	METABOLISM
137157	137157	KOG0540	"3-Methylcrotonyl-CoA carboxylase, non-biotin containing subunit/Acetyl-CoA carboxylase carboxyl transferase, subunit beta"	Lipid transport and metabolism 	METABOLISM
1879	1879	KOG3299	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
5205	5205	KOG3299	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
66937	66937	KOG3299	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
68022	68022	KOG3299	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
39564	39564	KOG3298	DNA-directed RNA polymerase subunit E'	Transcription 	INFORMATION STORAGE AND PROCESSING
143285	143285	KOG3298	DNA-directed RNA polymerase subunit E'	Transcription 	INFORMATION STORAGE AND PROCESSING
118699	118699	KOG3297	DNA-directed RNA polymerase subunit E'	Transcription 	INFORMATION STORAGE AND PROCESSING
44587	44587	KOG3296	"Translocase of outer mitochondrial membrane complex, subunit TOM40"	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
136196	136196	KOG3295	60S Ribosomal protein L13	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
140186	140186	KOG3294	"WW domain binding protein WBP-2, contains GRAM domain"	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
35858	35858	KOG3293	Small nuclear ribonucleoprotein (snRNP)	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
105514	105514	KOG3292	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
137532	137532	KOG3291	Ribosomal protein S7	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
61326	61326	KOG3290	Peroxisomal phytanoyl-CoA hydroxylase	Lipid transport and metabolism 	METABOLISM
62780	62780	KOG3290	Peroxisomal phytanoyl-CoA hydroxylase	Lipid transport and metabolism 	METABOLISM
68948	68948	KOG3290	Peroxisomal phytanoyl-CoA hydroxylase	Lipid transport and metabolism 	METABOLISM
136427	136427	KOG3289	Uncharacterized conserved protein encoded by sequence overlapping the COX4 gene	General function prediction only 	POORLY CHARACTERIZED
81517	81517	KOG3286	Selenoprotein T	General function prediction only 	POORLY CHARACTERIZED
44848	44848	KOG3284	Vacuolar sorting protein VPS28	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
84099	84099	KOG0595	Serine/threonine-protein kinase involved in autophagy	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
48380	48380	KOG3283	40S ribosomal protein S8	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
142362	142362	KOG3282	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
142259	142259	KOG3281	Mitochondrial F1-ATPase assembly protein	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
65846	65846	KOG3280	Mitochondrial/chloroplast ribosomal protein L17	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
46216	46216	KOG3277	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
141448	141448	KOG3275	Zinc-binding protein of the histidine triad (HIT) family	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
142604	142604	KOG3275	Zinc-binding protein of the histidine triad (HIT) family	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
142288	142288	KOG3274	"Uncharacterized conserved protein, AMMECR1"	Function unknown 	POORLY CHARACTERIZED
75720	75720	KOG3273	Predicted RNA-binding protein Pno1p interacting with Nob1p and involved in 26S proteasome assembly	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
45095	45095	KOG3272	Predicted coiled-coil protein	General function prediction only 	POORLY CHARACTERIZED
115514	115514	KOG3271	Translation initiation factor 5A (eIF-5A)	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
139077	139077	KOG3270	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
140085	140085	KOG3269	Predicted membrane protein	Function unknown 	POORLY CHARACTERIZED
51286	51286	KOG3268	Predicted E3 ubiquitin ligase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
84099	84099	KOG0595	Serine/threonine-protein kinase involved in autophagy	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
139812	139812	KOG3263	Nucleic acid binding protein	General function prediction only 	POORLY CHARACTERIZED
54089	54089	KOG3262	H/ACA small nucleolar RNP component GAR1	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
45180	45180	KOG3259	Peptidyl-prolyl cis-trans isomerase	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING
40131	40131	KOG3256	"NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit"	Energy production and conversion 	METABOLISM
136488	136488	KOG3257	Mitochondrial/chloroplast ribosomal protein L11	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
137840	137840	KOG3255	60S ribosomal protein L9	"Translation, ribosomal structure and biogenesis "	INFORMATION STORAGE AND PROCESSING
46782	46782	KOG3252	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
100140	100140	KOG3251	Golgi SNAP receptor complex member	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
42318	42318	KOG3249	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
138200	138200	KOG3247	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
140057	140057	KOG3246	Sentrin-specific cysteine protease (Ulp1 family)	General function prediction only 	POORLY CHARACTERIZED
45100	45100	KOG3245	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
42185	42185	KOG3243	"6,7-dimethyl-8-ribityllumazine synthase"	Coenzyme transport and metabolism 	METABOLISM
63898	63898	KOG3244	Protein involved in ubiquinone biosynthesis	Coenzyme transport and metabolism 	METABOLISM
45300	45300	KOG3241	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
140843	140843	KOG3240	Phosphatidylinositol synthase	Lipid transport and metabolism 	METABOLISM
46877	46877	KOG3239	Density-regulated protein related to translation initiation factor 1 (eIF-1/SUI1)	General function prediction only 	POORLY CHARACTERIZED
44428	44428	KOG3237	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
46891	46891	KOG3235	Subunit of the major N alpha-acetyltransferase	General function prediction only 	POORLY CHARACTERIZED
78112	78112	KOG3233	"RNA polymerase III, subunit C34"	Transcription 	INFORMATION STORAGE AND PROCESSING
76798	76798	KOG3234	"Acetyltransferase, (GNAT) family"	General function prediction only 	POORLY CHARACTERIZED
73444	73444	KOG3232	Vacuolar assembly/sorting protein DID2	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
151804	151804	KOG3232	Vacuolar assembly/sorting protein DID2	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
12575	12575	KOG3230	Vacuolar assembly/sorting protein DID4	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
85988	85988	KOG3230	Vacuolar assembly/sorting protein DID4	"Intracellular trafficking, secretion, and vesicular transport "	CELLULAR PROCESSES AND SIGNALING
